index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1036,2,0.12,0.12,0.24,3.08,0.0,28203024384,3162693632,31365718016,0,962,0,5380096,0,19,48,0,0,0,0,0,0,0,0
3,1,0.2067,2,0.37,0.17,0.54,6.11,0.0,28204732416,3162693632,31367426048,0,967,0,5399552,0,19,56,0,0,0,0,0,0,0,0
4,1,0.3098,2,0.51,0.21,0.72,9.14,0.0,28200689664,3162693632,31363383296,0,1042,0,6050816,0,20,72,0,4,0,400,0,0,0,0
5,1,0.412,2,0.64,0.23,0.87,12.26,0.0,28215255040,3162693632,31377948672,0,1042,0,6050816,0,20,72,0,6,0,620,0,0,0,0
6,1,0.5151,2,0.82,0.25,1.0699999999999998,15.3,0.0,28238962688,3162693632,31401656320,0,1042,0,6050816,0,20,72,0,6,0,620,0,0,0,0
7,1,0.6175,2,1.32,0.29,1.61,18.04,0.0,28286230528,3162693632,31448924160,0,1044,0,6051840,0,20,80,0,6,0,620,0,0,0,0
8,1,0.7199,2,1.78,0.29,2.07,20.81,0.0,28341002240,3162693632,31503695872,0,1044,0,6051840,0,20,80,0,6,0,620,0,0,0,0
9,1,0.8224,2,2.2,0.3,2.5,23.64,0.0,28369195008,3162693632,31531888640,0,1048,0,6061056,0,20,88,0,7,0,710,0,0,0,0
10,1,0.9249,2,2.6,0.32,2.92,26.48,0.0,28377485312,3162693632,31540178944,0,1048,0,6061056,0,20,88,0,8,0,800,0,0,0,0
11,1,1.0271,2,2.81,0.32,3.13,29.53,0.0,28383719424,3162693632,31546413056,0,1048,0,6061056,0,20,88,0,8,0,800,0,0,0,0
12,1,1.1293,2,3.27,0.34,3.61,32.32,0.0,28402556928,3162693632,31565250560,0,1048,0,6061056,0,20,88,0,8,0,800,0,0,0,0
13,1,1.2316,2,3.52,0.34,3.86,35.33,0.0,28408827904,3162693632,31571521536,0,1108,0,6623232,0,21,96,0,8,0,800,0,0,0,0
14,1,1.3339,2,3.9,0.37,4.27,38.17,0.0,28449374208,3162693632,31612067840,0,1108,0,6623232,0,21,96,0,8,0,800,0,0,0,0
15,1,1.4362,2,4.32,0.4,4.720000000000001,40.95,0.0,28468998144,3162693632,31631691776,0,1221,0,7642112,0,21,128,5,13,868,1668,0,0,0,0
16,1,1.5388,2,4.86,0.42,5.28,43.65,0.0,28486008832,3162693632,31648702464,0,1265,0,8059904,0,21,136,5,13,868,1668,0,0,0,0
17,1,1.6417,2,5.53,0.49,6.0200000000000005,46.28,0.0,28486057984,3162693632,31648751616,0,1354,0,8895488,0,23,152,5,13,868,1668,0,0,0,0
18,1,1.7443,2,6.09,0.51,6.6,48.93,0.0,28494385152,3162693632,31657078784,0,1356,0,8896512,0,23,160,5,13,868,1668,0,0,0,0
19,1,1.8467,2,6.5,0.53,7.03,51.74,0.0,28501557248,3162693632,31664250880,0,1407,0,9370624,0,23,168,5,13,868,1668,0,0,0,0
20,1,1.9491,2,6.85,0.54,7.39,54.66,0.0,28508405760,3162693632,31671099392,0,1422,0,9690112,0,23,184,5,13,868,1668,0,0,0,0
21,1,2.0518,2,7.25,0.57,7.82,57.56,0.0,28584570880,3162693632,31747264512,0,1422,0,9690112,0,23,184,5,13,868,1668,0,0,0,0
22,1,2.1541,2,7.69,0.59,8.280000000000001,60.37,0.0,28607795200,3162693632,31770488832,0,1422,0,9690112,0,23,184,5,13,868,1668,0,0,0,0
23,1,2.2564,2,8.16,0.6,8.76,63.14,0.0,28634628096,3162693632,31797321728,0,1422,0,9690112,0,23,184,5,13,868,1668,0,0,0,0
24,1,2.359,2,8.55,0.61,9.16,66.0,0.0,28662788096,3162693632,31825481728,0,1422,0,9690112,0,23,184,5,13,868,1668,0,0,0,0
25,1,2.4617,2,8.95,0.62,9.569999999999999,68.91,0.0,28685492224,3162693632,31848185856,0,1426,0,9699328,0,23,192,5,13,868,1668,0,0,0,0
26,1,2.5648,2,9.58,0.63,10.21,71.51,0.0,28720345088,3162693632,31883038720,0,1426,0,9699328,0,23,192,5,13,868,1668,0,0,0,0
27,1,2.6675,2,9.58,0.63,10.21,74.79,0.0,28720345088,3162693632,31883038720,0,1426,0,9699328,0,23,192,5,13,868,1668,0,0,0,0
28,1,2.7697,2,9.59,0.64,10.23,78.04,0.0,28720345088,3162693632,31883038720,0,1426,0,9699328,0,23,192,7,19,1110,2436,0,0,0,0
29,1,2.8718,2,9.59,0.68,10.27,81.25,0.0,28483457024,3162693632,31646150656,0,1426,0,9699328,0,23,192,7,19,1110,2436,0,0,0,0
30,1,2.9744,2,9.6,0.72,10.32,84.48,0.0,28176322560,3162693632,31339016192,0,1447,0,9880576,0,23,208,7,19,1110,2436,0,0,0,0
31,1,3.0772,2,9.64,0.74,10.38,87.65,0.0,28175532032,3162693632,31338225664,0,1977,0,12753920,0,34,232,8,13,1170,1856,0,0,0,0
32,2,3.2853,2,9.86,0.76,10.62,94.21,0.0,28181905408,3162693632,31344599040,0,2333,0,14276608,0,40,232,42,60,7563,8661,0,0,0,0
33,2,3.388,2,10.01,0.8,10.81,97.25,0.0,28202573824,3162693632,31365267456,0,2336,0,14288896,0,40,240,42,61,7563,8727,0,0,0,0
34,2,3.4911,2,10.15,0.86,11.01,100.38,0.0,28195328000,3162693632,31358021632,0,2410,0,14964736,0,41,256,42,63,7563,8907,0,0,0,0
35,2,3.5937,2,10.33,0.87,11.2,103.43,0.0,28212572160,3162693632,31375265792,0,2412,0,14965760,0,41,264,42,64,7563,8973,0,0,0,0
36,2,3.6962,2,10.52,0.88,11.4,106.47,0.0,28233744384,3162693632,31396438016,0,2412,0,14965760,0,41,264,42,64,7563,8973,0,0,0,0
37,2,3.7984,2,10.95,0.9,11.85,109.32,0.0,28272689152,3162693632,31435382784,0,2416,0,14974976,0,41,272,42,64,7563,8973,0,0,0,0
38,2,3.9014,2,11.43,0.93,12.36,112.04,0.0,28339163136,3162693632,31501856768,0,2416,0,14974976,0,41,272,42,69,7563,9327,0,0,0,0
39,2,4.0038,2,11.82,0.96,12.780000000000001,114.84,0.0,28373024768,3162693632,31535718400,0,2479,0,15574016,0,42,280,43,70,7661,9425,0,0,0,0
40,2,4.1064,2,12.28,0.98,13.26,117.62,0.0,28377042944,3162693632,31539736576,0,2479,0,15574016,0,42,280,43,74,7661,9777,0,0,0,0
41,2,4.209,2,12.5,1.0,13.5,120.65,0.0,28382879744,3162693632,31545573376,0,2479,0,15574016,0,42,280,43,75,7661,9867,0,0,0,0
42,2,4.3117,2,12.93,1.07,14.0,123.45,0.0,28400984064,3162693632,31563677696,0,2479,0,15574016,0,42,280,43,75,7661,9867,0,0,0,0
43,2,4.4144,2,13.25,1.08,14.33,126.41,0.0,28410855424,3162693632,31573549056,0,2483,0,15583232,0,42,288,43,75,7661,9867,0,0,0,0
44,2,4.5171,2,13.4,1.08,14.48,129.48,0.0,28417576960,3162693632,31580270592,0,2483,0,15583232,0,42,288,43,75,7661,9867,0,0,0,0
45,2,4.6198,2,13.81,1.12,14.93,132.36,0.0,28460195840,3162693632,31622889472,0,2483,0,15583232,0,42,288,43,76,7661,9933,0,0,0,0
46,2,4.722,2,14.36,1.14,15.5,135.07,0.0,28474388480,3162693632,31637082112,0,2483,0,15583232,0,42,288,43,76,7661,9933,0,0,0,0
47,2,4.825,2,14.87,1.14,16.009999999999998,137.78,0.0,28478001152,3162693632,31640694784,0,2483,0,15583232,0,42,288,43,78,7661,10153,0,0,0,0
48,2,4.9279,2,15.37,1.15,16.52,140.47,0.0,28488323072,3162693632,31651016704,0,2483,0,15583232,0,42,288,43,79,7661,10219,0,0,0,0
49,2,5.0309,2,15.69,1.18,16.87,143.41,0.0,28495630336,3162693632,31658323968,0,2483,0,15583232,0,42,288,43,79,7661,10219,0,0,0,0
50,2,5.1338,2,16.03,1.22,17.25,146.27,0.0,28501635072,3162693632,31664328704,2,2536,8192,16029696,0,42,308,43,79,7661,10219,0,0,0,0
51,2,5.2368,2,16.41,1.25,17.66,149.17,0.0,28568084480,3162693632,31730778112,2,2536,8192,16029696,0,42,308,43,79,7661,10219,0,0,0,0
52,2,5.3395,2,16.89,1.26,18.150000000000002,152.0,0.0,28594446336,3162693632,31757139968,2,2536,8192,16029696,0,42,308,43,79,7661,10219,0,0,0,0
53,2,5.4424,2,17.12,1.28,18.400000000000002,155.03,0.0,28621725696,3162693632,31784419328,2,2540,8192,16038912,0,42,316,43,79,7661,10219,0,0,0,0
54,2,5.5454,2,17.41,1.29,18.7,158.01,0.0,28638797824,3162693632,31801491456,2,2540,8192,16038912,0,42,316,43,79,7661,10219,0,0,0,0
