index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1037,2,0.07,0.09,0.16,3.11,0.0,28203311104,3162693632,31366004736,0,972,0,5453824,0,20,48,0,3,0,273,0,0,0,0
3,1,0.2069,2,0.08,0.1,0.18,6.4,0.0,28204101632,3162693632,31366795264,0,972,0,5453824,0,20,48,16,20,5665,2160,0,0,0,0
4,1,0.3095,2,0.24,0.14,0.38,9.47,0.0,28204892160,3162693632,31367585792,0,975,0,5466112,0,21,56,17,21,5774,2226,0,0,0,0
5,1,0.4122,2,0.27,0.15,0.42000000000000004,12.69,0.0,28183293952,3162693632,31345987584,0,1039,0,6019072,0,22,72,17,25,5774,2626,0,0,0,0
6,1,0.5151,2,0.45,0.17,0.62,15.75,0.0,28212379648,3162693632,31375073280,0,1041,0,6020096,0,22,80,17,25,5774,2626,0,0,0,0
7,1,0.6182,2,0.6,0.2,0.8,18.85,0.0,28223954944,3162693632,31386648576,0,1041,0,6020096,0,22,80,17,25,5774,2626,0,0,0,0
8,1,0.7206,2,0.86,0.23,1.09,21.81,0.0,28260200448,3162693632,31422894080,0,1045,0,6029312,0,22,88,17,25,5774,2626,0,0,0,0
9,1,0.8232,2,1.4,0.25,1.65,24.5,0.0,28318167040,3162693632,31480860672,0,1045,0,6029312,0,22,88,17,26,5774,2716,0,0,0,0
10,1,0.9261,2,1.85,0.33,2.18,27.23,0.0,28368158720,3162693632,31530852352,0,1045,0,6029312,0,22,88,17,26,5774,2716,0,0,0,0
11,1,1.0284,2,2.3,0.35,2.65,30.05,0.0,28374417408,3162693632,31537111040,0,1045,0,6029312,0,22,88,17,26,5774,2716,0,0,0,0
12,1,1.1308,2,2.64,0.35,2.99,32.97,0.0,28381343744,3162693632,31544037376,0,1045,0,6029312,0,22,88,17,26,5774,2716,0,0,0,0
13,1,1.2332,2,2.85,0.37,3.22,36.0,0.0,28391632896,3162693632,31554326528,0,1045,0,6029312,0,22,88,17,27,5774,2806,0,0,0,0
14,1,1.3375,2,3.59,0.43,4.02,38.62,0.0,28416761856,3162693632,31579455488,0,1198,0,7487488,0,22,112,22,34,6642,3894,0,0,0,0
15,1,1.4399,2,3.82,0.45,4.27,41.66,0.0,28421754880,3162693632,31584448512,0,1198,0,7487488,0,22,112,22,34,6642,3894,0,0,0,0
16,1,1.5423,2,4.18,0.49,4.67,44.49,0.0,28460793856,3162693632,31623487488,0,1198,0,7487488,0,22,112,26,34,7942,3894,0,0,0,0
17,1,1.6449,2,4.59,0.5,5.09,47.36,0.0,28473253888,3162693632,31635947520,0,1198,0,7487488,0,22,112,26,34,7942,3894,0,0,0,0
18,1,1.7475,2,5.09,0.51,5.6,50.09,0.0,28482801664,3162693632,31645495296,0,1204,0,7497728,0,22,120,26,34,7942,3894,0,0,0,0
19,1,1.8503,2,5.71,0.52,6.23,52.78,0.0,28484349952,3162693632,31647043584,0,1204,0,7497728,0,22,120,26,34,7942,3894,0,0,0,0
20,1,1.9533,2,6.28,0.53,6.8100000000000005,55.49,0.0,28489318400,3162693632,31652012032,0,1204,0,7497728,0,22,120,26,34,7942,3894,0,0,0,0
21,1,2.0558,2,6.65,0.54,7.19,58.38,0.0,28496289792,3162693632,31658983424,0,1204,0,7497728,0,22,120,26,35,7942,3960,0,0,0,0
22,1,2.1581,2,7.23,0.57,7.800000000000001,61.1,0.0,28548120576,3162693632,31710814208,0,1204,0,7497728,0,22,120,27,35,8002,3960,0,0,0,0
23,1,2.2608,2,7.45,0.57,8.02,64.17,0.0,28584505344,3162693632,31747198976,0,1204,0,7497728,0,22,120,27,35,8002,3960,0,0,0,0
24,1,2.3631,2,7.89,0.59,8.48,66.94,0.0,28608798720,3162693632,31771492352,0,1204,0,7497728,0,22,120,27,35,8002,3960,0,0,0,0
25,1,2.4659,2,8.29,0.63,8.92,69.79,0.0,28634644480,3162693632,31797338112,0,1227,0,7754752,0,24,144,33,41,10058,6016,0,0,0,0
26,1,2.5686,2,8.61,0.63,9.24,72.74,0.0,28660228096,3162693632,31822921728,0,1227,0,7754752,0,24,144,33,41,10058,6016,0,0,0,0
27,1,2.6711,2,8.99,0.66,9.65,75.58,0.0,28685258752,3162693632,31847952384,0,1227,0,7754752,0,24,144,33,41,10058,6016,0,0,0,0
28,1,2.7738,2,9.49,0.67,10.16,78.31,0.0,28714622976,3162693632,31877316608,0,1231,0,7763968,0,24,152,33,41,10058,6016,0,0,0,0
29,1,2.8764,2,9.5,0.67,10.17,81.56,0.0,28714606592,3162693632,31877300224,0,1231,0,7763968,0,24,152,33,41,10058,6016,0,0,0,0
30,1,2.9786,2,9.51,0.7,10.209999999999999,84.79,0.0,28715638784,3162693632,31878332416,0,1231,0,7763968,0,24,152,33,41,10058,6016,0,0,0,0
31,1,3.0806,2,9.52,0.73,10.25,88.0,0.0,28172439552,3162693632,31335133184,0,1231,0,7763968,0,24,152,33,41,10058,6016,0,0,0,0
32,1,3.1827,2,9.54,0.74,10.28,91.22,0.0,28175097856,3162693632,31337791488,0,1323,0,8645632,0,24,176,34,41,10118,6016,0,0,0,0
33,1,3.2856,2,9.56,0.76,10.32,94.42,0.0,28177096704,3162693632,31339790336,0,1545,0,9647616,0,27,192,34,35,10118,5436,0,0,0,0
34,2,3.1842,2,9.97,1.03,11.0,90.77,0.0,28189073408,3162693632,31351767040,0,2439,0,15398912,0,42,224,11,18,1449,2569,0,0,0,0
35,2,3.287,2,10.04,1.12,11.16,93.86,0.0,28230107136,3162693632,31392800768,0,2447,0,15423488,0,42,232,12,19,1547,2667,0,0,0,0
36,2,3.3902,2,10.17,1.17,11.34,97.02,0.0,28210028544,3162693632,31372722176,0,2450,0,15435776,0,42,240,12,19,1547,2667,0,0,0,0
37,2,3.4933,2,10.3,1.22,11.520000000000001,100.1,0.0,28210507776,3162693632,31373201408,0,2522,0,16087040,0,43,256,13,21,1607,2847,0,0,0,0
38,2,3.5963,2,10.4,1.23,11.63,103.26,0.0,28222853120,3162693632,31385546752,0,2524,0,16088064,0,44,264,13,21,1607,2847,0,0,0,0
39,2,3.6989,2,10.6,1.26,11.86,106.31,0.0,28250202112,3162693632,31412895744,0,2524,0,16088064,0,44,264,13,21,1607,2847,0,0,0,0
