index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1037,2,0.12,0.11,0.22999999999999998,3.07,0.0,28210503680,3162693632,31373197312,0,916,0,5190656,0,19,40,0,0,0,0,0,0,0,0
3,1,0.2062,2,0.12,0.11,0.22999999999999998,6.34,0.0,28211630080,3162693632,31374323712,0,916,0,5190656,0,19,40,16,20,5665,2160,0,0,0,0
4,1,0.3089,2,0.48,0.15,0.63,9.37,0.0,28210540544,3162693632,31373234176,0,919,0,5202944,0,19,48,17,21,5774,2226,0,0,0,0
5,1,0.4121,2,0.54,0.16,0.7000000000000001,12.57,0.0,28199600128,3162693632,31362293760,0,990,0,5841920,0,19,64,17,25,5774,2626,0,0,0,0
6,1,0.5153,2,0.74,0.18,0.9199999999999999,15.63,0.0,28217204736,3162693632,31379898368,0,992,0,5842944,0,19,72,19,32,6016,3460,0,0,0,0
7,1,0.6183,2,0.88,0.19,1.07,18.71,0.0,28233207808,3162693632,31395901440,0,992,0,5842944,0,19,72,19,32,6016,3460,0,0,0,0
8,1,0.7206,2,1.34,0.22,1.56,21.52,0.0,28284153856,3162693632,31446847488,0,992,0,5842944,0,19,72,19,32,6016,3460,0,0,0,0
9,1,0.8237,2,1.89,0.23,2.12,24.27,0.0,28346642432,3162693632,31509336064,0,996,0,5852160,0,19,80,19,32,6016,3460,0,0,0,0
10,1,0.9261,2,2.3,0.25,2.55,27.04,0.0,28379963392,3162693632,31542657024,2,996,8192,5852160,0,19,84,19,32,6016,3460,0,0,0,0
