index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1042,2,0.11,0.11,0.22,3.1,0.0,28214992896,3150372864,31365365760,0,991,0,5407744,0,20,40,0,1,0,74,0,0,0,0
3,1,0.2073,2,0.13,0.11,0.24,6.37,0.0,28214751232,3150372864,31365124096,0,991,0,5407744,0,20,40,13,17,5436,1919,0,0,0,0
4,1,0.31,2,0.21,0.14,0.35,9.39,0.0,28217270272,3150372864,31367643136,0,996,0,5427200,0,20,48,14,18,5545,1985,0,0,0,0
5,1,0.4132,2,0.27,0.18,0.45,12.53,0.0,28214362112,3150372864,31364734976,0,1066,0,5993472,0,22,64,15,23,5605,2431,0,0,0,0
6,1,0.5154,2,0.53,0.19,0.72,15.6,0.0,28225081344,3150372864,31375454208,0,1066,0,5993472,0,22,64,15,23,5605,2431,0,0,0,0
7,1,0.6177,2,0.66,0.21,0.87,18.69,0.0,28239454208,3150372864,31389827072,0,1066,0,5993472,0,22,64,15,24,5605,2521,0,0,0,0
8,1,0.7207,2,0.88,0.22,1.1,21.72,0.0,28265504768,3150372864,31415877632,0,1066,0,5993472,0,22,64,18,28,5789,2785,0,0,0,0
9,1,0.823,2,1.47,0.26,1.73,24.36,0.0,28325908480,3150372864,31476281344,2,1125,8192,6491136,0,22,84,18,28,5789,2785,0,0,0,0
10,1,0.9257,2,1.88,0.36,2.2399999999999998,27.11,0.0,28378595328,3150372864,31528968192,2,1125,8192,6491136,0,22,84,24,35,7917,5003,0,0,0,0
11,1,1.0281,2,2.3,0.37,2.67,29.97,0.0,28385726464,3150372864,31536099328,2,1125,8192,6491136,0,22,84,24,35,7917,5003,0,0,0,0
12,1,1.1304,2,2.67,0.39,3.06,32.86,0.0,28390920192,3150372864,31541293056,2,1125,8192,6491136,0,22,84,24,35,7917,5003,0,0,0,0
13,1,1.2328,2,2.95,0.42,3.37,35.87,0.0,28411281408,3150372864,31561654272,2,1174,8192,6861824,0,22,100,27,38,8101,5201,0,0,0,0
14,1,1.3353,2,3.4,0.43,3.83,38.66,0.0,28418265088,3150372864,31568637952,2,1174,8192,6861824,0,22,100,27,40,8101,5421,0,0,0,0
