index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1039,2,0.15,0.1,0.25,3.07,0.01,28182564864,3179294720,31361859584,4,942,16384,5217280,0,20,52,0,1,0,261,0,0,0,0
3,1,0.2062,2,0.36,0.22,0.58,6.04,0.01,28378161152,3179294720,31557455872,4,945,16384,5229568,0,20,60,7,8,2165,2383,0,0,0,0
4,1,0.3085,2,0.43,0.34,0.77,9.16,0.01,28546281472,3179294720,31725576192,16,962,98304,5303296,0,20,76,7,12,2165,2783,0,0,0,0
5,1,0.4107,2,0.68,0.39,1.07,12.09,0.01,28627156992,3179294720,31806451712,216,1018,11673600,5832704,11,20,160,10,15,2349,2981,0,0,0,0
6,1,0.5128,2,0.94,0.44,1.38,15.07,0.01,28701491200,3179294720,31880785920,242,1081,11902976,6454272,13,22,172,10,15,2349,2981,0,0,0,0
7,1,0.6156,2,1.23,0.47,1.7,18.04,0.01,28785307648,3179294720,31964602368,248,1081,11952128,6454272,14,22,180,10,15,2349,2981,0,0,0,0
8,1,0.7181,2,1.8,0.52,2.3200000000000003,20.69,0.02,28890677248,3179294720,32069971968,322,1081,12312576,6454272,16,22,232,10,17,2349,3201,0,0,0,0
9,1,0.8207,2,2.28,0.6,2.88,23.38,0.02,29004292096,3179294720,32183586816,468,1122,13451264,6845440,22,22,292,10,18,2349,3291,0,0,0,0
10,1,0.9233,2,2.79,0.64,3.43,26.03,0.02,29086851072,3179294720,32266145792,540,1169,14278656,7247872,25,22,348,12,19,2467,3357,0,0,0,0
11,1,1.026,2,3.3,0.65,3.9499999999999997,28.79,0.02,29148397568,3179294720,32327692288,732,1169,15884288,7247872,33,22,436,13,21,2533,3489,0,0,0,0
12,1,1.1286,2,3.62,0.66,4.28,31.74,0.02,29207298048,3179294720,32386592768,748,1169,15949824,7247872,34,22,452,13,22,2533,3579,0,0,0,0
13,1,1.231,2,4.19,0.69,4.880000000000001,34.45,0.03,29290876928,3179294720,32470171648,754,1175,16015360,7258112,34,22,476,13,22,2533,3579,0,0,0,0
14,1,1.3341,2,4.54,0.7,5.24,37.37,0.03,29359833088,3179294720,32539127808,766,1175,16089088,7258112,34,22,488,13,22,2533,3579,0,0,0,0
15,1,1.4366,2,4.8,0.71,5.51,40.37,0.03,29415321600,3179294720,32594616320,766,1175,16089088,7258112,34,22,488,15,28,2779,4359,0,0,0,0
16,1,1.5389,2,5.2,0.77,5.970000000000001,43.14,0.03,29509558272,3179294720,32688852992,766,1175,16089088,7258112,34,22,488,15,28,2779,4359,0,0,0,0
17,1,1.6415,2,5.84,0.77,6.609999999999999,45.78,0.03,29575925760,3179294720,32755220480,766,1175,16089088,7258112,34,22,488,15,28,2779,4359,0,0,0,0
18,1,1.7443,2,6.48,0.79,7.2700000000000005,48.39,0.03,29636050944,3179294720,32815345664,766,1175,16089088,7258112,34,22,488,15,28,2779,4359,0,0,0,0
19,1,1.8473,2,7.23,0.81,8.040000000000001,50.91,0.03,29709119488,3179294720,32888414208,766,1175,16089088,7258112,34,22,488,15,28,2779,4359,0,0,0,0
20,1,1.9502,2,7.62,0.84,8.46,53.79,0.03,29773889536,3179294720,32953184256,774,1175,16646144,7258112,35,22,500,15,28,2779,4359,0,0,0,0
21,1,2.0528,2,8.07,0.84,8.91,56.62,0.03,29844983808,3179294720,33024278528,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
22,1,2.1554,2,8.46,0.85,9.31,59.42,0.03,29974994944,3179294720,33154289664,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
23,1,2.258,2,8.86,0.9,9.76,62.22,0.03,29771137024,3179294720,32950431744,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
24,1,2.3609,2,9.32,0.95,10.27,64.98,0.03,29796745216,3179294720,32976039936,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
25,1,2.4643,2,9.99,0.99,10.98,67.6,0.03,29825343488,3179294720,33004638208,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
26,1,2.5672,2,10.34,1.02,11.36,70.5,0.03,29908996096,3179294720,33088290816,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
27,1,2.6702,2,11.01,1.06,12.07,73.03,0.03,29981913088,3179294720,33161207808,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
28,1,2.7729,2,11.7,1.08,12.78,75.55,0.03,30062530560,3179294720,33241825280,776,1175,16662528,7258112,35,22,504,15,28,2779,4359,0,0,0,0
