index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.103,2,0.21,0.11,0.32,3.01,0.0,28362219520,4289421312,32651640832,0,925,0,5101568,0,17,40,0,0,0,0,0,0,0,0
3,1,0.2054,2,0.42,0.16,0.58,6.01,0.0,28428472320,4289421312,32717893632,4,930,196608,5121024,1,17,56,4,6,338,634,0,0,0,0
4,1,0.3077,2,0.63,0.19,0.8200000000000001,9.0,0.0,28488757248,4289421312,32778178560,4,990,196608,5624832,1,18,72,4,10,338,1034,0,0,0,0
5,1,0.4103,2,0.87,0.22,1.09,12.02,0.0,28604387328,4289421312,32893808640,4,990,196608,5624832,1,18,72,4,10,338,1034,0,0,0,0
6,1,0.5127,2,1.05,0.26,1.31,15.01,0.0,28316643328,4289421312,32606064640,4,992,196608,5625856,1,18,80,4,13,338,1344,0,0,0,0
7,1,0.6157,2,1.58,0.29,1.87,17.72,0.0,28361064448,4289421312,32650485760,4,992,196608,5625856,1,18,80,4,13,338,1344,0,0,0,0
8,1,0.7185,2,2.16,0.33,2.49,20.39,0.0,28450603008,4289421312,32740024320,4,996,196608,5635072,1,18,88,4,13,338,1344,0,0,0,0
9,1,0.8207,2,2.71,0.38,3.09,23.14,0.0,28542238720,4289421312,32831660032,4,996,196608,5635072,1,18,88,4,13,338,1344,0,0,0,0
10,1,0.9232,2,3.29,0.41,3.7,25.82,0.0,28610527232,4289421312,32899948544,4,996,196608,5635072,1,18,88,4,13,338,1344,0,0,0,0
