index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1038,2,0.11,0.12,0.22999999999999998,3.0,0.0,27086561280,4289421312,31375982592,0,828,0,5075968,0,16,40,0,1,0,74,0,0,0,0
3,1,0.207,2,0.11,0.13,0.24,6.29,0.0,27087253504,4289421312,31376674816,0,836,0,5100544,0,16,48,13,16,5436,1853,0,0,0,0
4,1,0.3097,2,0.28,0.17,0.45000000000000007,9.34,0.0,27089391616,4289421312,31378812928,0,839,0,5112832,0,16,56,16,19,5699,2092,0,0,0,0
5,1,0.4129,2,0.37,0.22,0.59,12.47,0.0,27084517376,4289421312,31373938688,0,909,0,5698560,0,16,80,16,25,5699,2712,0,0,0,0
6,1,0.5155,2,0.53,0.23,0.76,15.55,0.0,27097845760,4289421312,31387267072,0,909,0,5698560,0,16,80,19,27,6867,3980,0,0,0,0
7,1,0.618,2,0.71,0.27,0.98,18.6,0.0,27112583168,4289421312,31402004480,0,909,0,5698560,0,16,80,19,27,6867,3980,0,0,0,0
8,1,0.7201,2,1.06,0.31,1.37,21.49,0.0,27158257664,4289421312,31447678976,0,909,0,5698560,0,16,80,19,27,6867,3980,0,0,0,0
9,1,0.8229,2,1.61,0.31,1.9200000000000002,24.19,0.0,27213303808,4289421312,31502725120,0,913,0,5707776,0,17,88,20,29,6981,4548,0,0,0,0
10,1,0.9253,2,1.96,0.4,2.36,27.01,0.0,27247333376,4289421312,31536754688,0,913,0,5707776,0,17,88,20,30,6981,4638,0,0,0,0
11,1,1.0278,2,2.46,0.4,2.86,29.77,0.0,27252981760,4289421312,31542403072,0,913,0,5707776,0,17,88,21,31,7063,4704,0,0,0,0
12,1,1.1307,2,2.78,0.43,3.21,32.74,0.0,27257110528,4289421312,31546531840,0,913,0,5707776,0,17,88,21,31,7063,4704,0,0,0,0
13,1,1.233,2,3.12,0.5,3.62,35.57,0.0,27283722240,4289421312,31573143552,4,1063,16384,7146496,0,18,116,26,36,7931,5572,0,0,0,0
14,1,1.3357,2,3.49,0.5,3.99,38.46,0.0,27291611136,4289421312,31581032448,4,1063,16384,7146496,0,18,116,29,41,8119,5930,0,0,0,0
15,1,1.4385,2,3.65,0.52,4.17,41.55,0.0,27296079872,4289421312,31585501184,4,1063,16384,7146496,0,18,116,29,41,8119,5930,0,0,0,0
16,1,1.5413,2,4.04,0.54,4.58,44.37,0.0,27341045760,4289421312,31630467072,4,1063,16384,7146496,0,18,116,29,41,8119,5930,0,0,0,0
17,1,1.6444,2,4.56,0.56,5.119999999999999,47.13,0.0,27357589504,4289421312,31647010816,4,1069,16384,7156736,0,18,132,33,46,8453,6344,0,0,0,0
18,1,1.747,2,5.02,0.57,5.59,49.88,0.0,27359911936,4289421312,31649333248,4,1069,16384,7156736,0,18,132,34,47,8527,6418,0,0,0,0
19,1,1.8489,2,5.56,0.59,6.1499999999999995,52.58,0.0,27368693760,4289421312,31658115072,4,1069,16384,7156736,0,18,132,36,48,8711,6484,0,0,0,0
20,1,1.951,2,6.03,0.6,6.63,55.37,0.0,27375611904,4289421312,31665033216,4,1069,16384,7156736,0,18,132,38,50,8858,6657,0,0,0,0
21,1,2.054,2,6.37,0.63,7.0,58.27,0.0,27383947264,4289421312,31673368576,4,1069,16384,7156736,0,18,132,38,50,8858,6657,0,0,0,0
