index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1042,2,0.11,0.12,0.22999999999999998,3.11,0.0,27090153472,4288876544,31379030016,0,959,0,5454848,0,20,40,0,3,0,273,0,0,0,0
3,1,0.2073,2,0.12,0.12,0.24,6.4,0.0,27091685376,4288876544,31380561920,0,959,0,5454848,0,20,40,16,20,5665,2160,0,0,0,0
4,1,0.3101,2,0.28,0.2,0.48000000000000004,9.44,0.0,27094548480,4288876544,31383425024,0,966,0,5476352,0,20,56,17,21,5774,2226,0,0,0,0
5,1,0.413,2,0.45,0.23,0.68,12.56,0.0,27086598144,4288876544,31375474688,0,1039,0,6065152,0,21,72,17,25,5774,2626,0,0,0,0
6,1,0.5156,2,0.68,0.26,0.9400000000000001,15.62,0.0,27103051776,4288876544,31391928320,0,1041,0,6066176,0,21,80,17,26,5774,2716,0,0,0,0
7,1,0.6185,2,0.87,0.27,1.1400000000000001,18.68,0.0,27120766976,4288876544,31409643520,0,1041,0,6066176,0,21,80,18,26,5834,2716,0,0,0,0
8,1,0.7207,2,1.2,0.28,1.48,21.56,0.0,27156529152,4288876544,31445405696,2,1079,8192,6404096,0,21,100,18,26,5834,2716,0,0,0,0
9,1,0.8234,2,1.84,0.32,2.16,24.16,0.0,27214381056,4288876544,31503257600,2,1187,8192,7415808,0,22,116,23,31,6702,3584,0,0,0,0
10,1,0.9262,2,2.24,0.37,2.6100000000000003,26.98,0.0,27256930304,4288876544,31545806848,2,1189,8192,7416832,0,22,124,27,35,6842,3752,0,0,0,0
11,1,1.0289,2,2.72,0.38,3.1,29.75,0.0,27263455232,4288876544,31552331776,2,1189,8192,7416832,0,22,124,27,35,6842,3752,0,0,0,0
12,1,1.131,2,3.08,0.4,3.48,32.65,0.0,27269664768,4288876544,31558541312,2,1214,8192,7516160,0,22,148,27,35,6842,3752,0,0,0,0
13,1,1.2337,2,3.33,0.46,3.79,35.57,0.0,27290841088,4288876544,31579717632,4,1269,16384,8056832,0,23,160,27,36,6842,3842,0,0,0,0
14,1,1.3363,2,3.76,0.52,4.279999999999999,38.35,0.0,27303075840,4288876544,31591952384,8,1360,32768,8887296,0,24,184,28,36,6902,3842,0,0,0,0
15,1,1.4394,2,3.94,0.54,4.48,41.43,0.0,27308564480,4288876544,31597441024,8,1360,32768,8887296,0,24,184,28,38,6902,4062,0,0,0,0
16,1,1.5424,2,4.38,0.58,4.96,44.21,0.0,27346870272,4288876544,31635746816,8,1360,32768,8887296,0,24,184,40,51,8952,6677,0,0,0,0
17,1,1.6449,2,4.85,0.6,5.449999999999999,46.97,0.0,27359330304,4288876544,31648206848,8,1360,32768,8887296,0,24,184,40,51,8952,6677,0,0,0,0
18,1,1.748,2,5.48,0.62,6.1000000000000005,49.64,0.0,27364491264,4288876544,31653367808,8,1364,32768,8896512,0,24,192,40,51,8952,6677,0,0,0,0
19,1,1.8508,2,6.05,0.62,6.67,52.32,0.0,27376054272,4288876544,31664930816,8,1364,32768,8896512,0,24,192,40,51,8952,6677,0,0,0,0
20,1,1.9534,2,6.45,0.64,7.09,55.24,0.0,27381473280,4288876544,31670349824,8,1364,32768,8896512,0,24,192,40,51,8952,6677,0,0,0,0
21,1,2.0557,2,6.78,0.66,7.44,58.14,0.0,27391631360,4288876544,31680507904,8,1364,32768,8896512,0,24,192,40,51,8952,6677,0,0,0,0
