index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1046,2,0.11,0.09,0.2,3.12,0.0,27095928832,4284776448,31380705280,0,901,0,5069824,0,18,40,3,4,1222,708,0,0,0,0
3,1,0.2077,2,0.12,0.12,0.24,6.38,0.0,27096858624,4284776448,31381635072,0,901,0,5069824,0,18,40,16,19,6658,2487,0,0,0,0
4,1,0.3107,2,0.16,0.17,0.33,9.43,0.0,27098157056,4284776448,31382933504,0,904,0,5082112,0,18,48,18,21,6849,2619,0,0,0,0
5,1,0.4139,2,0.22,0.24,0.45999999999999996,12.6,0.0,27091845120,4284776448,31376621568,0,969,0,5623808,0,18,72,19,27,6967,3203,0,0,0,0
6,1,0.5172,2,0.46,0.27,0.73,15.65,0.0,27109281792,4284776448,31394058240,0,969,0,5623808,0,18,72,19,27,6967,3203,0,0,0,0
7,1,0.6201,2,0.68,0.29,0.97,18.68,0.0,27135688704,4284776448,31420465152,0,969,0,5623808,0,18,72,20,29,7117,3419,0,0,0,0
8,1,0.7223,2,1.01,0.3,1.31,21.57,0.0,27168882688,4284776448,31453659136,0,969,0,5623808,0,18,72,20,29,7117,3419,0,0,0,0
9,1,0.8249,2,1.51,0.34,1.85,24.32,0.0,27231047680,4284776448,31515824128,0,973,0,5633024,0,18,80,22,30,7301,3485,0,0,0,0
10,1,0.9273,2,1.86,0.42,2.2800000000000002,27.12,0.0,27262763008,4284776448,31547539456,0,973,0,5633024,0,18,80,23,32,7367,3665,0,0,0,0
11,1,1.0317,2,2.34,0.43,2.77,29.94,0.0,27268177920,4284776448,31552954368,0,973,0,5633024,0,18,80,23,32,7367,3665,0,0,0,0
12,1,1.1344,2,2.59,0.44,3.03,32.95,0.0,27273154560,4284776448,31557931008,0,973,0,5633024,0,18,80,23,32,7367,3665,0,0,0,0
13,1,1.237,2,2.92,0.47,3.3899999999999997,35.87,0.0,27293888512,4284776448,31578664960,0,973,0,5633024,0,18,80,23,32,7367,3665,0,0,0,0
14,1,1.34,2,3.26,0.48,3.7399999999999998,38.81,0.0,27302985728,4284776448,31587762176,0,973,0,5633024,0,18,80,23,34,7367,3885,0,0,0,0
15,1,1.4422,2,3.44,0.48,3.92,41.89,0.0,27307188224,4284776448,31591964672,0,973,0,5633024,0,18,80,24,36,7481,4453,0,0,0,0
16,1,1.5445,2,3.93,0.5,4.43,44.63,0.0,27353452544,4284776448,31638228992,0,973,0,5633024,0,18,80,24,36,7481,4453,0,0,0,0
17,1,1.6475,2,4.43,0.54,4.97,47.33,0.0,27369533440,4284776448,31654309888,0,973,0,5633024,0,18,80,25,36,7547,4453,0,0,0,0
18,1,1.7502,2,4.98,0.58,5.5600000000000005,50.03,0.0,27376726016,4284776448,31661502464,0,973,0,5633024,0,18,80,26,37,7629,4519,0,0,0,0
19,1,1.8528,2,5.63,0.59,6.22,52.63,0.0,27380596736,4284776448,31665373184,0,973,0,5633024,0,18,80,26,37,7629,4519,0,0,0,0
20,1,1.9561,2,5.98,0.6,6.58,55.57,0.0,27387469824,4284776448,31672246272,0,973,0,5633024,0,18,80,27,39,7747,4703,0,0,0,0
21,1,2.0585,2,6.34,0.61,6.95,58.47,0.0,27396100096,4284776448,31680876544,0,973,0,5633024,0,18,80,28,39,7807,4703,0,0,0,0
22,1,2.1613,2,6.72,0.64,7.359999999999999,61.35,0.0,27462967296,4284776448,31747743744,0,973,0,5633024,0,18,80,29,39,7873,4703,0,0,0,0
23,1,2.2646,2,7.14,0.66,7.8,64.21,0.0,27487780864,4284776448,31772557312,0,973,0,5633024,0,18,80,29,39,7873,4703,0,0,0,0
24,1,2.3668,2,7.41,0.67,8.08,67.16,0.0,27513663488,4284776448,31798439936,0,994,0,5723136,0,19,96,29,39,7873,4703,0,0,0,0
25,1,2.4696,2,7.84,0.7,8.54,69.98,0.0,27547742208,4284776448,31832518656,2,994,8192,5723136,0,19,100,29,39,7873,4703,0,0,0,0
26,1,2.5721,2,8.2,0.76,8.959999999999999,72.85,0.0,27570683904,4284776448,31855460352,2,1115,8192,6939648,0,20,116,29,39,7873,4703,0,0,0,0
27,1,2.6749,2,8.62,0.78,9.399999999999999,75.67,0.0,27590373376,4284776448,31875149824,2,1115,8192,6939648,0,20,116,29,39,7873,4703,0,0,0,0
28,1,2.7776,2,8.62,0.78,9.399999999999999,78.95,0.0,27590664192,4284776448,31875440640,2,1119,8192,6948864,0,20,124,29,39,7873,4703,0,0,0,0
29,1,2.8797,2,8.62,0.79,9.41,82.22,0.0,27590664192,4284776448,31875440640,2,1129,8192,6982656,0,20,132,29,39,7873,4703,0,0,0,0
30,1,2.9818,2,8.62,0.8,9.42,85.45,0.0,27354824704,4284776448,31639601152,2,1138,8192,7277568,0,20,140,31,45,8115,5471,0,0,0,0
31,1,3.0844,2,8.64,0.83,9.47,88.68,0.0,27073122304,4284776448,31357898752,2,1158,8192,7449600,0,20,156,31,45,8115,5471,0,0,0,0
32,1,3.1871,2,8.65,0.87,9.52,91.87,0.0,27071434752,4284776448,31356211200,2,1195,8192,7609344,0,21,164,31,39,8115,4891,0,0,0,0
33,2,3.1829,2,8.69,0.73,9.42,92.07,0.01,27067461632,4284776448,31352238080,6,2873,81920,15746048,0,60,180,22,24,7140,2668,0,0,0,0
34,2,3.2865,2,8.8,0.81,9.610000000000001,95.17,0.01,27108073472,4284776448,31392849920,6,3129,81920,17290240,0,62,212,22,24,7140,2668,0,0,0,0
35,2,3.3903,2,8.9,0.88,9.780000000000001,98.29,0.01,27097567232,4284776448,31382343680,6,3134,81920,17309696,0,62,220,22,24,7140,2668,0,0,0,0
36,2,3.4935,2,9.08,0.94,10.02,101.35,0.01,27095851008,4284776448,31380627456,6,3196,81920,17801216,0,64,236,22,26,7140,2848,0,0,0,0
37,2,3.5959,2,9.18,0.94,10.12,104.5,0.01,27107954688,4284776448,31392731136,6,3196,81920,17801216,0,64,236,24,32,7382,3616,0,0,0,0
38,2,3.6989,2,9.45,0.96,10.41,107.51,0.01,27140587520,4284776448,31425363968,10,3198,98304,17802240,0,64,252,24,32,7382,3616,0,0,0,0
39,2,3.8016,2,9.98,0.99,10.97,110.25,0.01,27179143168,4284776448,31463919616,10,3301,98304,18797568,0,64,268,24,32,7382,3616,0,0,0,0
40,2,3.9041,2,10.47,1.02,11.49,113.03,0.01,27236904960,4284776448,31521681408,10,3301,98304,18797568,0,64,268,24,33,7382,3706,0,0,0,0
41,2,4.0067,2,10.81,1.06,11.870000000000001,115.83,0.01,27264954368,4284776448,31549730816,10,3301,98304,18797568,0,64,268,24,33,7382,3706,0,0,0,0
42,2,4.1092,2,11.24,1.07,12.31,118.67,0.01,27270057984,4284776448,31554834432,10,3305,98304,18806784,0,64,276,24,35,7382,3926,0,0,0,0
43,2,4.2116,2,11.47,1.08,12.55,121.7,0.01,27275476992,4284776448,31560253440,10,3305,98304,18806784,0,64,276,24,37,7382,4146,0,0,0,0
44,2,4.3138,2,11.88,1.14,13.020000000000001,124.51,0.01,27297452032,4284776448,31582228480,10,3305,98304,18806784,0,64,276,26,39,7452,4230,0,0,0,0
45,2,4.4164,2,12.1,1.14,13.24,127.56,0.01,27303419904,4284776448,31588196352,10,3305,98304,18806784,0,64,276,26,40,7452,4320,0,0,0,0
46,2,4.5187,2,12.32,1.18,13.5,130.55,0.01,27344060416,4284776448,31628836864,10,3305,98304,18806784,0,64,276,26,40,7452,4320,0,0,0,0
47,2,4.621,2,12.73,1.19,13.92,133.41,0.01,27358552064,4284776448,31643328512,10,3305,98304,18806784,0,64,276,26,40,7452,4320,0,0,0,0
48,2,4.7235,2,13.24,1.19,14.43,136.11,0.01,27370164224,4284776448,31654940672,10,3305,98304,18806784,0,64,276,26,40,7452,4320,0,0,0,0
49,2,4.8262,2,13.83,1.2,15.03,138.8,0.01,27373817856,4284776448,31658594304,10,3305,98304,18806784,0,64,276,28,46,7694,5088,0,0,0,0
50,2,4.929,2,14.33,1.24,15.57,141.53,0.01,27380314112,4284776448,31665090560,10,3305,98304,18806784,0,64,276,28,46,7694,5088,0,0,0,0
51,2,5.0313,2,14.68,1.32,16.0,144.32,0.01,27393069056,4284776448,31677845504,12,3458,106496,20282368,0,66,304,38,56,9841,7235,0,0,0,0
52,2,5.1337,2,15.25,1.36,16.61,147.02,0.01,27438837760,4284776448,31723614208,12,3458,106496,20282368,0,66,304,38,56,9841,7235,0,0,0,0
53,2,5.2365,2,15.45,1.37,16.82,150.09,0.01,27478835200,4284776448,31763611648,12,3458,106496,20282368,0,66,304,38,56,9841,7235,0,0,0,0
54,2,5.3389,2,15.88,1.4,17.28,152.9,0.01,27499864064,4284776448,31784640512,12,3464,106496,20292608,0,66,320,38,56,9841,7235,0,0,0,0
55,2,5.4428,2,16.07,1.4,17.47,156.03,0.01,27526115328,4284776448,31810891776,12,3464,106496,20292608,0,66,320,38,56,9841,7235,0,0,0,0
56,2,5.5451,2,16.5,1.44,17.94,158.84,0.01,27549106176,4284776448,31833882624,14,3464,114688,20292608,1,66,324,38,56,9841,7235,0,0,0,0
57,2,5.6486,2,17.35,1.48,18.830000000000002,161.25,0.01,27592486912,4284776448,31877263360,14,3514,114688,20731904,1,66,332,38,56,9841,7235,0,0,0,0
58,2,5.7523,2,17.67,1.49,19.16,164.22,0.01,27613937664,4284776448,31898714112,14,3514,114688,20731904,1,66,332,38,56,9841,7235,0,0,0,0
59,2,5.8555,2,17.69,1.49,19.18,167.5,0.01,27613937664,4284776448,31898714112,14,3514,114688,20731904,1,66,332,39,57,9915,7309,0,0,0,0
60,2,5.9582,2,17.7,1.5,19.2,170.75,0.01,27613937664,4284776448,31898714112,14,3563,114688,21181440,1,66,348,39,57,9915,7309,0,0,0,0
61,2,6.0609,2,17.73,1.55,19.28,173.95,0.01,27074682880,4284776448,31359459328,14,3568,114688,21286912,1,66,356,41,59,10069,7482,0,0,0,0
62,2,6.1638,2,17.87,1.57,19.44,177.09,0.01,27069673472,4284776448,31354449920,14,3616,114688,21520384,1,68,372,41,53,10069,6902,0,0,0,0
63,3,6.2667,2,18.04,1.65,19.689999999999998,180.1,0.01,27076784128,4284776448,31361560576,14,4687,114688,27980800,1,87,428,44,56,11243,8392,0,0,0,0
64,3,6.3697,2,18.27,1.68,19.95,183.23,0.01,27118505984,4284776448,31403282432,14,4695,114688,28005376,1,87,436,44,56,11243,8392,0,0,0,0
65,3,6.472,2,18.31,1.72,20.029999999999998,186.35,0.01,27099852800,4284776448,31384629248,14,4711,114688,28087296,1,87,452,45,59,11357,9050,0,0,0,0
66,3,6.5752,2,18.49,1.77,20.259999999999998,189.36,0.01,27102650368,4284776448,31387426816,14,4765,114688,28591104,1,87,468,45,60,11357,9140,0,0,0,0
67,3,6.6776,2,18.59,1.79,20.38,192.51,0.01,27112054784,4284776448,31396831232,14,4765,114688,28591104,1,87,468,46,61,11439,9206,0,0,0,0
68,3,6.7805,2,18.81,1.8,20.61,195.55,0.01,27138428928,4284776448,31423205376,14,4767,114688,28592128,1,87,476,47,63,11557,9390,0,0,0,0
69,3,6.8828,2,19.43,1.82,21.25,198.17,0.01,27192872960,4284776448,31477649408,14,4767,114688,28592128,1,87,476,47,63,11557,9390,0,0,0,0
70,3,6.9853,2,19.92,1.84,21.76,200.95,0.01,27242024960,4284776448,31526801408,14,4771,114688,28601344,1,87,484,48,65,11707,9606,0,0,0,0
71,3,7.0876,2,20.43,1.9,22.33,203.66,0.01,27278270464,4284776448,31563046912,14,4771,114688,28601344,1,87,484,48,67,11707,9786,0,0,0,0
72,3,7.1906,2,20.94,1.92,22.86,206.45,0.01,27284172800,4284776448,31568949248,14,4771,114688,28601344,1,87,484,50,70,11891,10072,0,0,0,0
73,3,7.2931,2,21.18,1.93,23.11,209.49,0.01,27289817088,4284776448,31574593536,14,4771,114688,28601344,1,87,484,50,72,11891,10292,0,0,0,0
74,3,7.3954,2,21.74,1.94,23.68,212.18,0.01,27310534656,4284776448,31595311104,14,4771,114688,28601344,1,87,484,51,72,11957,10292,0,0,0,0
75,3,7.4979,2,21.97,1.94,23.91,215.24,0.01,27316326400,4284776448,31601102848,14,4771,114688,28601344,1,87,484,52,72,12017,10292,0,0,0,0
76,3,7.6002,2,22.32,1.97,24.29,218.1,0.01,27355111424,4284776448,31639887872,14,4771,114688,28601344,1,87,484,52,72,12017,10292,0,0,0,0
77,3,7.7026,2,22.68,1.99,24.669999999999998,221.01,0.01,27368312832,4284776448,31653089280,14,4771,114688,28601344,1,87,484,52,72,12017,10292,0,0,0,0
78,3,7.805,2,23.24,1.99,25.229999999999997,223.7,0.01,27375022080,4284776448,31659798528,14,4771,114688,28601344,1,87,484,52,72,12017,10292,0,0,0,0
79,3,7.9075,2,23.91,2.0,25.91,226.31,0.01,27378118656,4284776448,31662895104,14,4771,114688,28601344,1,87,484,54,78,12259,11060,0,0,0,0
80,3,8.01,2,24.57,2.03,26.6,228.92,0.01,27385618432,4284776448,31670394880,14,4771,114688,28601344,1,87,484,54,78,12259,11060,0,0,0,0
81,3,8.1126,2,24.89,2.04,26.93,231.84,0.01,27390787584,4284776448,31675564032,14,6174,114688,35225600,1,127,492,54,78,12259,11060,0,0,0,0
82,3,8.2151,2,25.26,2.06,27.32,234.72,0.01,27402354688,4284776448,31687131136,14,6174,114688,35225600,1,127,492,54,78,12259,11060,0,0,0,0
83,3,8.3178,2,25.52,2.11,27.63,237.71,0.01,27479511040,4284776448,31764287488,14,6174,114688,35225600,1,127,492,54,78,12259,11060,0,0,0,0
84,3,8.4203,2,25.99,2.12,28.11,240.52,0.01,27501633536,4284776448,31786409984,14,6176,114688,35226624,1,127,500,54,78,12259,11060,0,0,0,0
85,3,8.5226,2,26.35,2.13,28.48,243.4,0.01,27529326592,4284776448,31814103040,14,6176,114688,35226624,1,127,500,54,78,12259,11060,0,0,0,0
86,3,8.6256,2,26.63,2.16,28.79,246.38,0.01,27558203392,4284776448,31842979840,16,6176,122880,35226624,1,127,504,54,78,12259,11060,0,0,0,0
87,3,8.7279,2,26.69,2.19,28.880000000000003,249.55,0.01,27561779200,4284776448,31846555648,16,6248,122880,35931136,1,127,512,54,78,12259,11060,0,0,0,0
88,3,8.8309,2,26.69,2.2,28.89,252.84,0.01,27561779200,4284776448,31846555648,16,6248,122880,35931136,1,127,512,54,78,12259,11060,0,0,0,0
89,3,8.9336,2,26.69,2.2,28.89,256.12,0.01,27561779200,4284776448,31846555648,16,6248,122880,35931136,1,127,512,54,78,12259,11060,0,0,0,0
90,3,9.0362,2,26.71,2.35,29.060000000000002,259.33,0.01,27074084864,4284776448,31358861312,16,6259,122880,36047872,1,128,528,54,78,12259,11060,0,0,0,0
91,3,9.1392,2,26.73,2.37,29.1,262.52,0.01,27073994752,4284776448,31358771200,16,6315,122880,36288512,1,128,544,54,72,12259,10480,0,0,0,0
92,4,9.2416,2,26.88,2.45,29.33,265.56,0.01,27076820992,4284776448,31361597440,16,7325,122880,42347520,1,147,592,56,73,12385,10702,0,0,0,0
93,4,9.3446,2,26.95,2.54,29.49,268.63,0.01,27116982272,4284776448,31401758720,16,7336,122880,42384384,1,147,608,56,73,12385,10702,0,0,0,0
94,4,9.4481,2,26.97,2.56,29.529999999999998,271.85,0.01,27079520256,4284776448,31364296704,16,7353,122880,42458112,1,147,616,56,75,12385,10882,0,0,0,0
95,4,9.5512,2,27.28,2.62,29.900000000000002,274.77,0.01,27101478912,4284776448,31386255360,16,7405,122880,42961920,1,147,624,56,75,12385,10882,0,0,0,0
96,4,9.6543,2,27.44,2.63,30.07,277.9,0.01,27115851776,4284776448,31400628224,16,7407,122880,42962944,1,147,632,56,76,12385,10972,0,0,0,0
97,4,9.7573,2,27.63,2.65,30.279999999999998,280.95,0.01,27141201920,4284776448,31425978368,16,7407,122880,42962944,1,147,632,56,76,12385,10972,0,0,0,0
98,4,9.8604,2,28.16,2.68,30.84,283.71,0.01,27193446400,4284776448,31478222848,16,7411,122880,42972160,1,147,640,56,76,12385,10972,0,0,0,0
99,4,9.9627,2,28.68,2.74,31.42,286.39,0.01,27244347392,4284776448,31529123840,18,7480,131072,43644928,1,149,652,56,76,12385,10972,0,0,0,0
100,4,10.0652,2,29.15,2.87,32.019999999999996,289.1,0.01,27281141760,4284776448,31565918208,20,7525,139264,44125184,1,149,660,56,76,12385,10972,0,0,0,0
101,4,10.1681,2,29.52,2.89,32.41,291.97,0.01,27281149952,4284776448,31565926400,20,7615,139264,44956672,1,149,676,61,83,13253,12060,0,0,0,0
102,4,10.2704,2,29.75,2.9,32.65,295.02,0.01,27287859200,4284776448,31572635648,20,7615,139264,44956672,1,149,676,61,83,13253,12060,0,0,0,0
103,4,10.3727,2,30.23,2.96,33.19,297.79,0.01,27303890944,4284776448,31588667392,20,7615,139264,44956672,1,149,676,61,83,13253,12060,0,0,0,0
104,4,10.4751,2,30.44,2.97,33.410000000000004,300.84,0.01,27309498368,4284776448,31594274816,20,7621,139264,44966912,1,149,684,61,84,13253,12150,0,0,0,0
105,4,10.5775,2,30.76,3.04,33.800000000000004,303.82,0.01,27346472960,4284776448,31631249408,20,7621,139264,44966912,1,149,684,61,84,13253,12150,0,0,0,0
106,4,10.6798,2,31.14,3.06,34.2,306.7,0.01,27357310976,4284776448,31642087424,20,7621,139264,44966912,1,149,684,61,84,13253,12150,0,0,0,0
107,4,10.7825,2,31.65,3.08,34.73,309.43,0.01,27365568512,4284776448,31650344960,20,7621,139264,44966912,1,149,684,61,84,13253,12150,0,0,0,0
108,4,10.8856,2,32.2,3.08,35.28,312.18,0.01,27367116800,4284776448,31651893248,20,7621,139264,44966912,1,149,684,61,84,13253,12150,0,0,0,0
109,4,10.989,2,32.68,3.1,35.78,314.9,0.01,27377844224,4284776448,31662620672,20,7673,139264,45430784,1,149,692,67,92,15309,14426,0,0,0,0
110,4,11.0921,2,33.06,3.13,36.190000000000005,317.8,0.01,27383975936,4284776448,31668752384,20,7673,139264,45430784,1,149,692,67,92,15309,14426,0,0,0,0
111,4,11.1948,2,33.47,3.14,36.61,320.66,0.01,27392798720,4284776448,31677575168,20,7673,139264,45430784,1,149,692,67,92,15309,14426,0,0,0,0
112,4,11.2977,2,33.73,3.17,36.9,323.67,0.01,27469189120,4284776448,31753965568,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
113,4,11.4002,2,34.21,3.18,37.39,326.49,0.01,27492413440,4284776448,31777189888,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
114,4,11.5026,2,34.42,3.18,37.6,329.55,0.01,27502460928,4284776448,31787237376,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
115,4,11.6051,2,34.56,3.18,37.74,332.69,0.01,27520520192,4284776448,31805296640,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
116,4,11.7077,2,34.8,3.19,37.989999999999995,335.73,0.01,27537076224,4284776448,31821852672,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
117,4,11.8101,2,35.06,3.19,38.25,338.73,0.01,27555921920,4284776448,31840698368,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
118,4,11.9139,2,35.68,3.2,38.88,341.43,0.01,27582693376,4284776448,31867469824,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
119,4,12.0167,2,36.05,3.22,39.269999999999996,344.32,0.01,27600015360,4284776448,31884791808,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
120,4,12.1202,2,36.42,3.25,39.67,347.15,0.01,27634348032,4284776448,31919124480,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
121,4,12.2228,2,36.86,3.26,40.12,350.03,0.01,27648983040,4284776448,31933759488,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
122,4,12.3259,2,37.02,3.27,40.290000000000006,353.13,0.01,27655921664,4284776448,31940698112,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
123,4,12.4286,2,37.28,3.31,40.59,356.15,0.01,27664117760,4284776448,31948894208,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
124,4,12.5309,2,37.52,3.35,40.870000000000005,359.1,0.01,27671109632,4284776448,31955886080,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
125,4,12.6336,2,37.87,3.36,41.23,362.03,0.01,27674931200,4284776448,31959707648,20,7677,139264,45440000,1,149,700,67,92,15309,14426,0,0,0,0
126,4,12.7368,2,38.43,3.39,41.82,364.72,0.01,27685842944,4284776448,31970619392,20,7677,139264,45440000,1,149,700,69,98,15551,15194,0,0,0,0
127,4,12.8393,2,38.56,3.4,41.96,367.85,0.01,27687899136,4284776448,31972675584,20,7677,139264,45440000,1,149,700,71,104,15793,15962,0,0,0,0
128,4,12.942,2,38.68,3.41,42.09,370.99,0.01,27702607872,4284776448,31987384320,20,7677,139264,45440000,1,149,700,71,104,15793,15962,0,0,0,0
129,4,13.0446,2,39.0,3.43,42.43,373.96,0.01,27730477056,4284776448,32015253504,20,7677,139264,45440000,1,149,700,71,104,15793,15962,0,0,0,0
130,4,13.1474,2,39.33,3.45,42.78,376.86,0.01,27746992128,4284776448,32031768576,20,7677,139264,45440000,1,149,700,71,104,15793,15962,0,0,0,0
131,4,13.2498,2,39.73,3.47,43.199999999999996,379.73,0.01,27771330560,4284776448,32056107008,20,8714,139264,50270208,1,176,708,71,104,15793,15962,0,0,0,0
132,4,13.3521,2,40.07,3.48,43.55,382.62,0.01,27791347712,4284776448,32076124160,38,8714,2498560,50270208,2,176,716,71,104,15793,15962,0,0,0,0
133,4,13.4547,2,40.46,3.5,43.96,385.47,0.01,27810394112,4284776448,32095170560,38,8714,2498560,50270208,2,176,716,71,104,15793,15962,0,0,0,0
134,4,13.5571,2,40.88,3.52,44.400000000000006,388.3,0.01,27829485568,4284776448,32114262016,38,8714,2498560,50270208,2,176,716,71,104,15793,15962,0,0,0,0
135,4,13.6594,2,41.38,3.54,44.92,391.02,0.01,27856945152,4284776448,32141721600,56,8715,4857856,50270720,3,176,728,71,104,15793,15962,0,0,0,0
136,4,13.7623,2,41.98,3.56,45.54,393.67,0.01,27867787264,4284776448,32152563712,56,8716,4857856,50271232,3,176,728,71,104,15793,15962,0,0,0,0
137,4,13.8662,2,42.96,3.64,46.6,396.06,0.01,27892559872,4284776448,32177336320,56,8716,4857856,50271232,3,176,728,71,104,15793,15962,0,0,0,0
138,4,13.9691,2,44.21,3.69,47.9,398.06,0.01,27987214336,4284776448,32271990784,80,8716,7610368,50271232,4,176,756,71,104,15793,15962,0,0,0,0
139,4,14.0724,2,45.61,3.78,49.39,399.86,0.01,28192620544,4284776448,32477396992,180,8716,20717568,50271232,9,176,828,71,104,15793,15962,0,0,0,0
140,4,14.1758,2,47.0,3.92,50.92,401.57,0.01,28476669952,4284776448,32761446400,352,8716,43261952,50271232,19,176,944,71,104,15793,15962,0,0,0,0
141,4,14.2786,2,48.0,3.95,51.95,403.81,0.01,28478013440,4284776448,32762789888,716,8716,90972160,50271232,39,176,1088,73,110,16035,16730,0,0,0,0
142,4,14.3826,2,48.84,4.04,52.88,406.24,0.01,28656377856,4284776448,32941154304,1056,8716,135438336,50271232,56,176,1224,73,110,16035,16730,0,0,0,0
143,4,14.4855,2,49.7,4.08,53.78,408.63,0.01,28659392512,4284776448,32944168960,1366,8716,176070656,50271232,71,176,1392,73,110,16035,16730,0,0,0,0
144,4,14.59,2,51.2,4.1,55.300000000000004,410.47,0.01,28696485888,4284776448,32981262336,1607,8716,207593472,50271232,82,176,1520,78,119,16465,17708,0,0,0,0
145,4,14.6928,2,52.22,4.15,56.37,412.67,0.01,28772220928,4284776448,33056997376,1825,8716,235905024,50271232,92,176,1628,78,119,16465,17708,0,0,0,0
146,4,14.796,2,53.6,4.16,57.760000000000005,414.58,0.01,28796612608,4284776448,33081389056,1825,8716,235905024,50271232,92,176,1628,78,119,16465,17708,0,0,0,0
147,4,14.8996,2,54.38,4.18,58.56,417.09,0.01,28818993152,4284776448,33103769600,1825,8716,235905024,50271232,92,176,1628,78,119,16465,17708,0,0,0,0
148,4,15.0021,2,55.0,4.19,59.19,419.74,0.01,28875837440,4284776448,33160613888,1825,8716,235905024,50271232,92,176,1628,78,119,16465,17708,0,0,0,0
