index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1042,2,0.08,0.12,0.2,3.12,0.0,27092709376,4284620800,31377330176,0,907,0,5166080,0,18,40,0,0,0,0,0,0,0,0
3,1,0.2065,2,0.1,0.12,0.22,6.38,0.0,27095113728,4284620800,31379734528,0,907,0,5166080,0,18,40,13,16,5436,1853,0,0,0,0
4,1,0.3092,2,0.23,0.16,0.39,9.43,0.0,27100381184,4284620800,31385001984,0,910,0,5178368,0,18,48,14,17,5545,1919,0,0,0,0
5,1,0.4124,2,0.28,0.18,0.46,12.64,0.0,27089448960,4284620800,31374069760,0,983,0,5762048,0,18,72,14,21,5545,2319,0,0,0,0
6,1,0.5151,2,0.48,0.19,0.6699999999999999,15.69,0.0,27106193408,4284620800,31390814208,0,985,0,5763072,0,18,80,14,21,5545,2319,0,0,0,0
7,1,0.618,2,0.63,0.2,0.8300000000000001,18.81,0.0,27117694976,4284620800,31402315776,0,985,0,5763072,0,18,80,14,22,5545,2409,0,0,0,0
8,1,0.7203,2,0.98,0.22,1.2,21.7,0.0,27161219072,4284620800,31445839872,0,989,0,5772288,0,18,88,14,22,5545,2409,0,0,0,0
9,1,0.8228,2,1.55,0.25,1.8,24.39,0.0,27224514560,4284620800,31509135360,0,989,0,5772288,0,18,88,14,24,5545,2629,0,0,0,0
10,1,0.9255,2,1.89,0.28,2.17,27.2,0.0,27267096576,4284620800,31551717376,0,989,0,5772288,0,18,88,14,24,5545,2629,0,0,0,0
11,1,1.0281,2,2.31,0.31,2.62,29.98,0.0,27276345344,4284620800,31560966144,0,989,0,5772288,0,18,88,14,24,5545,2629,0,0,0,0
12,1,1.1308,2,2.8,0.32,3.1199999999999997,32.84,0.0,27278016512,4284620800,31562637312,0,1057,0,6432768,0,18,96,14,24,5545,2629,0,0,0,0
13,1,1.2332,2,2.98,0.33,3.31,35.92,0.0,27283841024,4284620800,31568461824,0,1057,0,6432768,0,18,96,14,25,5545,2719,0,0,0,0
14,1,1.336,2,3.47,0.38,3.85,38.64,0.0,27304034304,4284620800,31588655104,0,1093,0,6739968,0,20,104,14,25,5545,2719,0,0,0,0
15,1,1.4384,2,3.67,0.41,4.08,41.68,0.0,27309219840,4284620800,31593840640,0,1093,0,6739968,0,20,104,14,25,5545,2719,0,0,0,0
16,1,1.5412,2,4.0,0.42,4.42,44.55,0.0,27345932288,4284620800,31630553088,0,1097,0,6749184,0,20,112,14,25,5545,2719,0,0,0,0
17,1,1.6438,2,4.39,0.44,4.83,47.38,0.0,27360698368,4284620800,31645319168,2,1155,8192,7270400,0,20,124,16,27,5665,2819,0,0,0,0
18,1,1.7464,2,4.97,0.46,5.43,50.09,0.0,27372670976,4284620800,31657291776,2,1155,8192,7270400,0,20,124,17,28,5725,2869,0,0,0,0
19,1,1.8487,2,5.51,0.48,5.99,52.8,0.0,27373277184,4284620800,31657897984,2,1155,8192,7270400,0,20,124,17,28,5725,2869,0,0,0,0
20,1,1.9512,2,6.03,0.49,6.5200000000000005,55.51,0.0,27383889920,4284620800,31668510720,2,1159,8192,7279616,0,20,132,17,28,5725,2869,0,0,0,0
21,1,2.0539,2,6.37,0.49,6.86,58.44,0.0,27390603264,4284620800,31675224064,2,1159,8192,7279616,0,20,132,17,28,5725,2869,0,0,0,0
22,1,2.1564,2,6.98,0.52,7.5,61.18,0.0,27443953664,4284620800,31728574464,2,1159,8192,7279616,0,20,132,17,28,5725,2869,0,0,0,0
23,1,2.2589,2,7.18,0.53,7.71,64.23,0.0,27479306240,4284620800,31763927040,2,1159,8192,7279616,0,20,132,17,28,5725,2869,0,0,0,0
24,1,2.3622,2,7.65,0.54,8.190000000000001,67.05,0.0,27505139712,4284620800,31789760512,2,1159,8192,7279616,0,20,132,17,28,5725,2869,0,0,0,0
25,1,2.4644,2,8.03,0.56,8.59,69.92,0.0,27525234688,4284620800,31809855488,2,1159,8192,7279616,0,20,132,18,28,5785,2869,0,0,0,0
26,1,2.5668,2,8.32,0.58,8.9,72.87,0.0,27552370688,4284620800,31836991488,2,1159,8192,7279616,0,20,132,18,28,5785,2869,0,0,0,0
27,1,2.6694,2,8.73,0.58,9.31,75.69,0.0,27577659392,4284620800,31862280192,2,1159,8192,7279616,0,20,132,18,28,5785,2869,0,0,0,0
28,1,2.7723,2,9.09,0.62,9.709999999999999,78.63,0.0,27590938624,4284620800,31875559424,2,1795,8192,10131456,0,37,140,18,28,5785,2869,0,0,0,0
29,1,2.8746,2,9.09,0.64,9.73,81.88,0.0,27590914048,4284620800,31875534848,2,1795,8192,10131456,0,37,140,18,28,5785,2869,0,0,0,0
30,1,2.9768,2,9.09,0.64,9.73,85.13,0.0,27591430144,4284620800,31876050944,2,1816,8192,10221568,0,37,156,18,28,5785,2869,0,0,0,0
31,1,3.079,2,9.09,0.68,9.77,88.34,0.0,27064287232,4284620800,31348908032,2,1819,8192,10319872,0,37,164,18,28,5785,2869,0,0,0,0
32,1,3.1819,2,9.13,0.7,9.83,91.54,0.0,27067854848,4284620800,31352475648,2,1877,8192,10561536,0,39,188,18,22,5785,2289,0,0,0,0
33,2,3.285,2,9.21,0.75,9.96,94.54,0.0,27073126400,4284620800,31357747200,2,2926,8192,16843776,0,58,236,19,23,5851,2511,0,0,0,0
34,2,3.3892,2,9.29,0.86,10.149999999999999,97.68,0.0,27113738240,4284620800,31398359040,2,2961,8192,17003520,0,58,244,21,29,6097,3291,0,0,0,0
35,2,3.4925,2,9.43,0.9,10.33,100.79,0.0,27095666688,4284620800,31380287488,2,2964,8192,17015808,0,58,252,21,29,6097,3291,0,0,0,0
36,2,3.5956,2,9.59,0.95,10.54,103.86,0.0,27099619328,4284620800,31384240128,2,3049,8192,17925120,0,59,292,21,31,6097,3471,0,0,0,0
37,2,3.6982,2,9.71,0.96,10.670000000000002,107.0,0.0,27114209280,4284620800,31398830080,2,3049,8192,17925120,0,59,292,22,32,6157,3561,0,0,0,0
38,2,3.8011,2,9.92,0.98,10.9,110.02,0.0,27140067328,4284620800,31424688128,2,3051,8192,17926144,0,59,300,22,33,6157,3611,0,0,0,0
39,2,3.9038,2,10.35,1.0,11.35,112.87,0.0,27174584320,4284620800,31459205120,2,3051,8192,17926144,0,59,300,22,33,6157,3611,0,0,0,0
40,2,4.0071,2,10.83,1.02,11.85,115.7,0.0,27237146624,4284620800,31521767424,2,3055,8192,17935360,0,60,308,22,33,6157,3611,0,0,0,0
41,2,4.1096,2,11.25,1.03,12.28,118.53,0.0,27268374528,4284620800,31552995328,2,3055,8192,17935360,0,60,308,22,34,6157,3701,0,0,0,0
42,2,4.2125,2,11.67,1.04,12.71,121.39,0.0,27273924608,4284620800,31558545408,2,3055,8192,17935360,0,60,308,23,37,6217,3971,0,0,0,0
43,2,4.3152,2,11.91,1.05,12.96,124.42,0.0,27279859712,4284620800,31564480512,2,3055,8192,17935360,0,60,308,23,37,6217,3971,0,0,0,0
44,2,4.4179,2,12.38,1.1,13.48,127.18,0.0,27302866944,4284620800,31587487744,2,3055,8192,17935360,0,60,308,24,38,6283,4329,0,0,0,0
45,2,4.5204,2,12.59,1.1,13.69,130.25,0.0,27307220992,4284620800,31591841792,2,3055,8192,17935360,0,60,308,25,39,6343,4379,0,0,0,0
46,2,4.6229,2,12.95,1.14,14.09,133.24,0.0,27348156416,4284620800,31632777216,2,3055,8192,17935360,0,60,308,26,40,6403,4429,0,0,0,0
47,2,4.7254,2,13.35,1.14,14.49,136.13,0.0,27358142464,4284620800,31642763264,2,3055,8192,17935360,0,60,308,26,40,6403,4429,0,0,0,0
48,2,4.828,2,13.89,1.18,15.07,138.79,0.0,27375980544,4284620800,31660601344,6,3098,24576,18391040,1,60,320,26,40,6403,4429,0,0,0,0
49,2,4.9303,2,14.51,1.22,15.73,141.45,0.0,27375300608,4284620800,31659921408,6,3214,24576,19502080,1,60,336,37,53,8616,6862,0,0,0,0
50,2,5.0331,2,15.0,1.23,16.23,144.14,0.0,27388350464,4284620800,31672971264,6,3214,24576,19502080,1,60,336,38,53,8676,6862,0,0,0,0
51,2,5.1355,2,15.3,1.24,16.54,147.08,0.0,27393900544,4284620800,31678521344,6,3214,24576,19502080,1,60,336,38,53,8676,6862,0,0,0,0
52,2,5.2379,2,15.62,1.25,16.869999999999997,150.02,0.0,27398295552,4284620800,31682916352,6,3220,24576,19512320,1,60,344,38,53,8676,6862,0,0,0,0
53,2,5.3407,2,16.06,1.3,17.36,152.86,0.0,27469258752,4284620800,31753879552,6,3220,24576,19512320,1,60,344,38,53,8676,6862,0,0,0,0
54,2,5.4434,2,16.51,1.3,17.810000000000002,155.71,0.0,27489644544,4284620800,31774265344,6,3220,24576,19512320,1,60,344,38,53,8676,6862,0,0,0,0
55,2,5.5461,2,16.73,1.33,18.060000000000002,158.74,0.0,27515707392,4284620800,31800328192,6,3220,24576,19512320,1,60,344,38,53,8676,6862,0,0,0,0
56,2,5.649,2,16.93,1.34,18.27,161.77,0.0,27531448320,4284620800,31816069120,6,3220,24576,19512320,1,60,344,38,53,8676,6862,0,0,0,0
57,2,5.7524,2,17.58,1.35,18.93,164.43,0.0,27564490752,4284620800,31849111552,6,3220,24576,19512320,1,60,344,39,54,8736,6912,0,0,0,0
