index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1048,2,0.19,0.11,0.3,3.09,0.0,27516248064,4284272640,31800520704,0,909,0,5230592,0,20,40,0,1,0,74,0,0,0,0
3,1,0.2078,2,0.32,0.13,0.45,6.3,0.0,27516297216,4284272640,31800569856,0,971,0,5857280,0,21,48,13,16,5436,1853,0,0,0,0
4,1,0.3108,2,0.56,0.18,0.74,9.35,0.0,27518414848,4284272640,31802687488,0,974,0,5869568,0,21,56,17,20,5729,2117,0,0,0,0
5,1,0.414,2,0.65,0.22,0.87,12.54,0.0,27513856000,4284272640,31798128640,2,1044,8192,6441984,0,22,80,17,24,5729,2517,0,0,0,0
6,1,0.5163,2,0.86,0.26,1.12,15.56,0.0,27528540160,4284272640,31812812800,4,1046,16384,6443008,0,22,92,20,29,6524,3532,0,0,0,0
7,1,0.6195,2,0.98,0.27,1.25,18.68,0.0,27540418560,4284272640,31824691200,4,1106,16384,7057408,0,22,100,32,41,8082,5118,0,0,0,0
8,1,0.7228,2,1.27,0.3,1.57,21.6,0.0,27579736064,4284272640,31864008704,4,1106,16384,7057408,0,22,100,32,41,8082,5118,0,0,0,0
9,1,0.8263,2,1.83,0.34,2.17,24.29,0.0,27642355712,4284272640,31926628352,4,1106,16384,7057408,0,22,100,32,41,8082,5118,0,0,0,0
10,1,0.9287,2,2.38,0.42,2.8,27.03,0.0,27685842944,4284272640,31970115584,4,1110,16384,7066624,0,22,108,32,41,8082,5118,0,0,0,0
11,1,1.0312,2,2.84,0.43,3.27,29.82,0.0,27691102208,4284272640,31975374848,4,1110,16384,7066624,0,22,108,32,42,8082,5208,0,0,0,0
12,1,1.1347,2,3.17,0.44,3.61,32.8,0.0,27696259072,4284272640,31980531712,4,1110,16384,7066624,0,22,108,32,43,8082,5298,0,0,0,0
13,1,1.2371,2,3.49,0.49,3.9800000000000004,35.72,0.0,27717472256,4284272640,32001744896,6,1163,24576,7537664,0,23,128,32,43,8082,5298,0,0,0,0
14,1,1.34,2,3.89,0.5,4.390000000000001,38.62,0.0,27726073856,4284272640,32010346496,6,1163,24576,7537664,0,23,128,32,43,8082,5298,0,0,0,0
15,1,1.4423,2,4.08,0.51,4.59,41.7,0.0,27729985536,4284272640,32014258176,6,1163,24576,7537664,0,23,128,32,43,8082,5298,0,0,0,0
16,1,1.5446,2,4.38,0.53,4.91,44.59,0.0,27773894656,4284272640,32058167296,6,1163,24576,7537664,0,23,128,32,43,8082,5298,0,0,0,0
