index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
1,1,0.0,2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.1044,2,0.1,0.13,0.23,3.15,0.0,27489304576,4288364544,31777669120,0,987,0,5567488,0,21,48,0,0,0,0,0,0,0,0
3,1,0.2076,2,0.27,0.17,0.44000000000000006,6.21,0.0,27530076160,4288364544,31818440704,0,990,0,5579776,0,21,56,1,2,109,327,0,0,0,0
4,1,0.3111,2,0.31,0.19,0.5,9.44,0.0,27492003840,4288364544,31780368384,0,1007,0,5653504,0,21,64,1,6,109,727,0,0,0,0
5,1,0.4139,2,0.54,0.25,0.79,12.48,0.0,27517370368,4288364544,31805734912,0,1061,0,6158336,0,22,80,1,6,109,727,0,0,0,0
6,1,0.5173,2,0.69,0.27,0.96,15.61,0.0,27528151040,4288364544,31816515584,0,1061,0,6158336,0,22,80,1,6,109,727,0,0,0,0
7,1,0.6202,2,0.99,0.29,1.28,18.57,0.0,27561816064,4288364544,31850180608,0,1061,0,6158336,0,22,80,1,6,109,727,0,0,0,0
8,1,0.7228,2,1.58,0.3,1.8800000000000001,21.26,0.0,27621216256,4288364544,31909580800,0,1061,0,6158336,0,22,80,1,7,109,817,0,0,0,0
9,1,0.8259,2,1.97,0.39,2.36,24.08,0.0,27669803008,4288364544,31958167552,0,1065,0,6167552,0,22,88,1,7,109,817,0,0,0,0
10,1,0.9283,2,2.44,0.43,2.87,26.85,0.0,27675385856,4288364544,31963750400,0,1065,0,6167552,0,22,88,1,7,109,817,0,0,0,0
11,1,1.0315,2,2.76,0.45,3.21,29.8,0.0,27680694272,4288364544,31969058816,0,1065,0,6167552,0,22,88,1,7,109,817,0,0,0,0
12,1,1.1339,2,3.08,0.48,3.56,32.77,0.0,27702022144,4288364544,31990386688,0,1065,0,6167552,0,22,88,1,8,109,907,0,0,0,0
13,1,1.2367,2,3.43,0.48,3.91,35.66,0.0,27709538304,4288364544,31997902848,0,1065,0,6167552,0,22,88,1,8,109,907,0,0,0,0
14,1,1.3391,2,3.63,0.48,4.109999999999999,38.72,0.0,27714998272,4288364544,32003362816,0,1065,0,6167552,0,22,88,1,10,109,1127,0,0,0,0
15,1,1.4416,2,3.97,0.5,4.470000000000001,41.58,0.0,27761725440,4288364544,32050089984,0,1065,0,6167552,0,22,88,2,10,169,1127,0,0,0,0
16,1,1.5441,2,4.51,0.52,5.029999999999999,44.26,0.0,27778285568,4288364544,32066650112,0,1135,0,6852608,0,22,96,8,16,2297,3255,0,0,0,0
17,1,1.6478,2,5.07,0.55,5.62,47.05,0.0,27785125888,4288364544,32073490432,0,1135,0,6852608,0,22,96,8,16,2297,3255,0,0,0,0
18,1,1.7504,2,5.59,0.55,6.14,49.77,0.0,27792142336,4288364544,32080506880,0,1135,0,6852608,0,22,96,8,16,2297,3255,0,0,0,0
19,1,1.8532,2,6.03,0.55,6.58,52.64,0.0,27801546752,4288364544,32089911296,0,1135,0,6852608,0,22,96,8,16,2297,3255,0,0,0,0
20,1,1.9556,2,6.38,0.56,6.9399999999999995,55.55,0.0,27807518720,4288364544,32095883264,0,1135,0,6852608,0,22,96,8,16,2297,3255,0,0,0,0
21,1,2.058,2,6.88,0.6,7.4799999999999995,58.22,0.0,27863732224,4288364544,32152096768,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
22,1,2.1604,2,7.07,0.62,7.69,61.26,0.0,27896336384,4288364544,32184700928,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
23,1,2.2635,2,7.54,0.63,8.17,64.06,0.0,27922219008,4288364544,32210583552,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
24,1,2.3665,2,8.02,0.66,8.68,66.85,0.0,27941089280,4288364544,32229453824,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
25,1,2.4693,2,8.29,0.72,9.01,69.8,0.0,27968167936,4288364544,32256532480,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
26,1,2.572,2,8.68,0.72,9.4,72.65,0.0,27992199168,4288364544,32280563712,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
27,1,2.6747,2,9.34,0.74,10.08,75.34,0.0,28022689792,4288364544,32311054336,0,1139,0,6861824,0,23,104,8,16,2297,3255,0,0,0,0
28,1,2.7775,2,9.35,0.74,10.09,78.61,0.0,28024885248,4288364544,32313249792,0,1197,0,7383040,0,23,112,8,16,2297,3255,0,0,0,0
29,1,2.8803,2,9.35,0.74,10.09,81.9,0.0,28024885248,4288364544,32313249792,0,1197,0,7383040,0,23,112,8,16,2297,3255,0,0,0,0
30,1,2.9829,2,9.35,0.79,10.14,85.13,0.0,27505176576,4288364544,31793541120,0,1197,0,7383040,0,23,112,8,16,2297,3255,0,0,0,0
31,1,3.0847,2,9.37,0.82,10.19,88.33,0.0,27473960960,4288364544,31762325504,0,1225,0,7573504,0,24,136,8,16,2297,3255,0,0,0,0
32,1,3.1875,2,9.39,0.84,10.23,91.53,0.0,27474481152,4288364544,31762845696,2,1259,8192,7733248,0,24,144,8,10,2297,2675,0,0,0,0
33,2,3.2882,2,9.85,0.75,10.6,94.21,0.01,27485593600,4288389120,31773982720,282,2314,11878400,14239744,15,45,260,20,27,3238,4496,0,0,0,0
34,2,3.3914,2,10.15,0.8,10.950000000000001,97.17,0.01,27505217536,4288389120,31793606656,284,2382,11886592,14915584,15,46,280,20,27,3238,4496,0,0,0,0
35,2,3.4946,2,10.19,0.84,11.03,100.37,0.01,27487404032,4288389120,31775793152,284,2445,11886592,15419392,15,47,304,20,29,3238,4676,0,0,0,0
36,2,3.5981,2,10.41,0.86,11.27,103.38,0.01,27513204736,4288389120,31801593856,284,2447,11886592,15420416,15,47,312,20,29,3238,4676,0,0,0,0
37,2,3.7012,2,10.58,0.88,11.46,106.47,0.01,27527245824,4288389120,31815634944,284,2447,11886592,15420416,15,47,312,20,30,3238,4766,0,0,0,0
38,2,3.804,2,10.85,0.91,11.76,109.44,0.01,27559231488,4288389120,31847620608,284,2451,11886592,15429632,15,47,320,20,30,3238,4766,0,0,0,0
39,2,3.9067,2,11.4,0.94,12.34,112.12,0.01,27623481344,4288389120,31911870464,284,2451,11886592,15429632,15,47,320,20,30,3238,4766,0,0,0,0
40,2,4.0095,2,11.77,1.04,12.809999999999999,114.93,0.01,27672993792,4288389120,31961382912,284,3796,11886592,21636096,15,88,328,20,31,3238,4856,0,0,0,0
41,2,4.1125,2,12.19,1.05,13.24,117.75,0.01,27679522816,4288389120,31967911936,284,3796,11886592,21636096,15,88,328,20,33,3238,5076,0,0,0,0
42,2,4.2149,2,12.53,1.06,13.59,120.7,0.01,27684532224,4288389120,31972921344,284,3796,11886592,21636096,15,88,328,20,33,3238,5076,0,0,0,0
43,2,4.3175,2,12.77,1.09,13.86,123.75,0.01,27692724224,4288389120,31981113344,284,3796,11886592,21636096,15,88,328,20,33,3238,5076,0,0,0,0
44,2,4.4202,2,13.24,1.1,14.34,126.54,0.01,27712724992,4288389120,32001114112,284,3798,11886592,21637120,15,88,336,20,35,3238,5296,0,0,0,0
45,2,4.523,2,13.47,1.12,14.59,129.61,0.01,27718983680,4288389120,32007372800,284,3798,11886592,21637120,15,88,336,20,35,3238,5296,0,0,0,0
46,2,4.626,2,14.07,1.18,15.25,132.31,0.01,27760054272,4288389120,32048443392,284,3798,11886592,21637120,15,88,336,20,35,3238,5296,0,0,0,0
