name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / duplicated-values / 25percent,2,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,2,1,0.1043,3,0.06,0.05,0.11,0.28,0.01,522280960,0,522280960,0,46,0,475136,0,47,12,0,0,0,0,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,3,1,0.2065,3,0.17,0.13,0.30000000000000004,0.47,0.03,533118976,0,533118976,0,198,0,1622016,0,152,76,0,0,0,0,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,4,1,0.3083,3,0.22,0.19,0.41000000000000003,0.75,0.03,555450368,0,555450368,0,201,0,1634304,0,154,80,0,0,0,0,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,5,1,0.4105,3,0.26,0.24,0.5,1.07,0.04,545013760,0,545013760,0,215,0,1789952,0,162,100,0,1,0,90,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,6,1,0.5128,3,0.4,0.27,0.67,1.28,0.04,549179392,0,549179392,0,215,0,1789952,0,162,100,0,1,0,90,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,7,1,0.6152,3,0.54,0.28,0.8200000000000001,1.54,0.04,563630080,0,563630080,0,215,0,1789952,0,162,100,0,3,0,310,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,8,1,0.7178,3,0.75,0.32,1.07,1.71,0.04,574984192,0,574984192,0,215,0,1789952,0,162,100,0,3,0,310,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,9,1,0.8203,3,0.98,0.34,1.32,1.85,0.04,593305600,0,593305600,0,215,0,1789952,0,162,100,0,3,0,310,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,10,1,0.9225,3,1.31,0.35,1.6600000000000001,1.91,0.04,596144128,0,596144128,0,215,0,1789952,0,162,100,0,3,0,310,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,11,1,1.0249,3,1.68,0.36,2.04,1.92,0.04,597692416,0,597692416,0,215,0,1789952,0,162,100,0,3,0,310,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,12,1,1.1269,3,1.99,0.38,2.37,2.01,0.04,602079232,0,602079232,0,215,0,1789952,0,162,100,0,4,0,400,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,13,1,1.2293,3,2.2,0.39,2.5900000000000003,2.19,0.04,605175808,0,605175808,0,215,0,1789952,0,162,100,0,5,0,486,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,14,1,1.3322,3,2.47,0.4,2.87,2.3,0.04,606724096,0,606724096,0,215,0,1789952,0,162,100,0,5,0,486,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,15,1,1.4342,3,2.75,0.42,3.17,2.41,0.04,610336768,0,610336768,0,215,0,1789952,0,162,100,0,5,0,486,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,16,1,1.5365,3,3.09,0.43,3.52,2.46,0.04,617304064,0,617304064,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,17,1,1.6387,3,3.39,0.45,3.8400000000000003,2.56,0.04,629948416,0,629948416,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,18,1,1.7419,3,3.65,0.46,4.11,2.67,0.04,632270848,0,632270848,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,19,1,1.8448,3,3.91,0.47,4.38,2.81,0.04,635625472,0,635625472,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,20,1,1.9474,3,4.06,0.47,4.529999999999999,3.07,0.04,638205952,0,638205952,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,21,1,2.0505,3,4.29,0.47,4.76,3.25,0.04,640270336,0,640270336,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,22,1,2.1526,3,4.49,0.48,4.970000000000001,3.43,0.04,643624960,0,643624960,0,215,0,1789952,0,162,100,0,7,0,706,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,23,1,2.2553,3,4.71,0.48,5.1899999999999995,3.62,0.04,652656640,0,652656640,0,215,0,1789952,0,162,100,0,9,0,866,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,24,1,2.3581,3,5.02,0.49,5.51,3.72,0.04,661172224,0,661172224,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,25,1,2.4606,3,5.29,0.5,5.79,3.85,0.04,645427200,0,645427200,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,26,1,2.5632,3,5.53,0.52,6.050000000000001,4.0,0.04,656781312,0,656781312,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,27,1,2.6651,3,5.78,0.54,6.32,4.14,0.04,664780800,0,664780800,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,28,1,2.7672,3,5.99,0.55,6.54,4.31,0.04,668909568,0,668909568,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,29,1,2.8691,3,6.33,0.55,6.88,4.4,0.04,673038336,0,673038336,0,215,0,1789952,0,162,100,1,10,54,1243,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,30,1,2.9718,3,6.68,0.56,7.24,4.44,0.04,678199296,0,678199296,0,215,0,1789952,0,162,100,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,31,1,3.0743,3,7.07,0.56,7.630000000000001,4.48,0.04,683618304,0,683618304,0,215,0,1789952,0,162,100,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,32,1,3.1768,3,7.38,0.58,7.96,4.53,0.04,689037312,0,689037312,0,215,0,1789952,0,162,100,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,33,1,3.2792,3,7.68,0.58,8.26,4.64,0.04,692133888,0,692133888,0,215,0,1789952,0,162,100,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,34,1,3.3821,3,8.04,0.59,8.629999999999999,4.69,0.04,696778752,0,696778752,0,215,0,1789952,0,162,100,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,35,1,3.4841,3,8.19,0.79,8.98,4.74,0.04,710483968,0,710483968,3,585,32768,12398592,10,281,164,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,36,1,3.5869,3,8.47,0.84,9.31,4.8,0.04,711938048,0,711938048,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,37,1,3.6891,3,8.81,0.85,9.66,4.87,0.04,712695808,0,712695808,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,38,1,3.7916,3,9.07,0.87,9.94,4.99,0.04,718630912,0,718630912,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,39,1,3.8945,3,9.38,0.89,10.270000000000001,5.08,0.04,734629888,0,734629888,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,40,1,3.9966,3,9.68,0.9,10.58,5.16,0.04,745984000,0,745984000,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,41,1,4.0986,3,9.97,0.91,10.88,5.27,0.04,753725440,0,753725440,3,981,32768,23736320,10,315,180,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,42,1,4.2014,3,10.3,0.91,11.21,5.36,0.04,756670464,0,756670464,3,983,32768,23818240,10,315,184,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,43,1,4.3042,3,10.63,0.92,11.55,5.43,0.04,758263808,0,758263808,3,983,32768,23818240,10,315,184,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,44,1,4.4072,3,10.88,0.92,11.8,5.58,0.04,760324096,0,760324096,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,45,1,4.5095,3,11.2,0.94,12.139999999999999,5.66,0.04,760840192,0,760840192,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,46,1,4.6121,3,11.49,0.94,12.43,5.76,0.04,762904576,0,762904576,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,47,1,4.7144,3,11.79,0.96,12.75,5.85,0.04,764968960,0,764968960,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,48,1,4.8168,3,12.12,0.96,13.079999999999998,5.93,0.04,767807488,0,767807488,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,49,1,4.9193,3,12.41,0.97,13.38,6.06,0.04,769085440,0,769085440,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,50,1,5.0221,3,12.76,0.98,13.74,6.11,0.04,774246400,0,774246400,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,51,1,5.1244,3,12.8,0.98,13.780000000000001,6.47,0.04,774250496,0,774250496,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,52,1,5.2267,3,12.8,0.98,13.780000000000001,6.88,0.04,774250496,0,774250496,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,53,1,5.3288,3,12.8,0.98,13.780000000000001,7.28,0.04,774250496,0,774250496,3,984,32768,23822336,10,316,192,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,54,1,5.4309,3,12.83,1.05,13.88,7.58,0.05,521080832,0,521080832,6,1003,192512,23961600,13,324,224,1,11,54,1333,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,55,1,5.5329,3,12.84,1.1,13.94,7.87,0.08,521854976,0,521854976,6,1178,192512,32403456,13,581,260,1,3,54,597,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,2,56,1,5.6356,3,12.9,1.13,14.030000000000001,8.15,0.11,526569472,0,526569472,6,1249,192512,47128576,13,823,300,1,3,54,597,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,4,57,2,5.7317,3,13.04,0.94,13.979999999999999,8.67,0.08,530726912,0,530726912,0,416,0,3203072,0,353,172,0,2,0,220,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,4,58,2,5.8337,3,13.08,1.03,14.11,8.88,0.11,534732800,0,534732800,0,610,0,4759552,0,494,240,0,2,0,220,0,0,0,0
rpt-sansa: track2 / duplicated-values / 25percent,4,59,2,5.936,3,13.16,1.05,14.21,9.16,0.11,550326272,0,550326272,0,624,0,4804608,0,502,252,0,2,0,220,0,0,0,0
