name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / empty-values / 50percent,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,2,1,0.103,3,0.03,0.12,0.15,0.27,0.01,534548480,0,534548480,0,61,0,643072,0,62,24,0,0,0,0,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,3,1,0.2049,3,0.1,0.21,0.31,0.47,0.04,540098560,0,540098560,0,204,0,1605632,0,166,88,0,0,0,0,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,4,1,0.3073,3,0.18,0.25,0.43,0.74,0.04,551239680,0,551239680,1,211,28672,1626112,1,169,108,0,0,0,0,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,5,1,0.4093,3,0.21,0.3,0.51,1.02,0.06,543555584,0,543555584,30,225,1646592,1777664,25,178,148,0,1,0,90,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,6,1,0.5125,3,0.36,0.34,0.7,1.24,0.06,555483136,0,555483136,41,225,1990656,1777664,37,178,156,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,7,1,0.6144,3,0.48,0.36,0.84,1.5,0.06,570691584,0,570691584,41,225,1990656,1777664,37,178,156,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,8,1,0.7166,3,0.71,0.4,1.1099999999999999,1.65,0.06,587722752,0,587722752,41,225,1990656,1777664,37,178,156,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,9,1,0.8185,3,0.99,0.4,1.3900000000000001,1.77,0.06,595722240,0,595722240,41,225,1990656,1777664,37,178,156,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,10,1,0.9212,3,1.32,0.42,1.74,1.83,0.06,598147072,0,598147072,50,225,2146304,1777664,42,178,176,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,11,1,1.0239,3,1.64,0.43,2.07,1.9,0.07,599351296,0,599351296,65,225,2232320,1777664,49,178,220,0,3,0,310,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,12,1,1.1267,3,1.87,0.45,2.3200000000000003,2.02,0.08,603938816,0,603938816,102,225,2576384,1777664,75,178,284,0,4,0,400,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,13,1,1.2287,3,2.1,0.46,2.56,2.2,0.1,605036544,0,605036544,130,225,2740224,1777664,92,178,348,0,4,0,400,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,14,1,1.3309,3,2.27,0.48,2.75,2.43,0.1,607932416,0,607932416,150,225,2945024,1777664,105,178,380,0,5,0,486,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,15,1,1.4329,3,2.56,0.48,3.04,2.56,0.1,609738752,0,609738752,150,225,2945024,1777664,105,178,380,0,7,0,706,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,16,1,1.5349,3,2.87,0.48,3.35,2.65,0.1,616189952,0,616189952,150,225,2945024,1777664,105,178,380,0,7,0,706,0,0,0,0
rpt-sansa: track2 / empty-values / 50percent,1,17,1,1.6376,3,3.2,0.5,3.7,2.72,0.1,624705536,0,624705536,150,225,2945024,1777664,105,178,380,0,7,0,706,0,0,0,0
