name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,2,1,0.1036,3,0.05,0.08,0.13,0.28,0.01,471519232,0,471519232,16,40,204800,405504,8,38,24,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,3,1,0.2058,3,0.14,0.18,0.32,0.46,0.06,474738688,0,474738688,100,232,2265088,1765376,73,183,112,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,4,1,0.3077,3,0.17,0.21,0.38,0.76,0.09,485339136,0,485339136,220,236,11210752,1773568,162,184,184,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,5,1,0.4098,3,0.24,0.24,0.48,1.04,0.14,498757632,0,498757632,400,239,15986688,1785856,268,186,280,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,6,1,0.5122,3,0.27,0.26,0.53,1.36,0.14,492802048,0,492802048,410,247,16207872,1814528,274,190,308,0,3,0,310,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,7,1,0.6152,3,0.3,0.3,0.6,1.63,0.2,492617728,0,492617728,563,253,29995008,1941504,409,194,416,0,4,0,396,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,8,1,0.7183,3,0.41,0.31,0.72,1.87,0.23,499486720,0,499486720,656,253,32378880,1941504,453,194,488,0,4,0,396,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,9,1,0.8211,3,0.49,0.32,0.81,2.16,0.28,502067200,0,502067200,833,253,34209792,1941504,510,194,564,0,5,0,486,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity files,4,10,1,0.9232,3,0.54,0.35,0.89,2.45,0.32,513880064,0,513880064,1085,253,42885120,1941504,683,194,640,0,5,0,486,0,0,0,0
