name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,2,1,0.1032,3,0.07,0.03,0.1,0.27,0.02,464822272,0,464822272,15,87,217088,753664,11,85,28,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,3,1,0.2055,3,0.12,0.1,0.22,0.51,0.05,467427328,0,467427328,41,226,1093632,1703936,30,177,96,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,4,1,0.3075,3,0.17,0.14,0.31000000000000005,0.8,0.08,473362432,0,473362432,219,239,9560064,1744896,155,185,168,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,5,1,0.4095,3,0.18,0.15,0.32999999999999996,1.1,0.14,483352576,0,483352576,563,239,22114304,1744896,367,185,264,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,6,1,0.5119,3,0.23,0.19,0.42000000000000004,1.4,0.18,489963520,0,489963520,683,242,24317952,1757184,441,186,332,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,7,1,0.6139,3,0.3,0.21,0.51,1.66,0.21,480002048,0,480002048,765,256,29630464,1912832,501,194,400,0,3,0,310,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,8,1,0.7164,3,0.39,0.23,0.62,1.92,0.24,483471360,0,483471360,843,256,38785024,1912832,581,194,456,0,3,0,310,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,9,1,0.8183,3,0.47,0.24,0.71,2.18,0.29,485249024,0,485249024,999,256,40108032,1912832,641,194,564,0,3,0,310,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity mixed,5,10,1,0.9216,3,0.51,0.25,0.76,2.47,0.33,496394240,0,496394240,1186,256,45121536,1912832,727,194,644,0,3,0,310,0,0,0,0
