name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,2,1,0.1046,3,0.07,0.06,0.13,0.28,0.0,469241856,0,469241856,3,3,32768,102400,3,3,8,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,3,1,0.2077,3,0.15,0.16,0.31,0.47,0.04,475893760,0,475893760,7,205,65536,1601536,5,156,84,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,4,1,0.3102,3,0.21,0.21,0.42,0.75,0.04,492093440,0,492093440,9,209,163840,1609728,7,158,92,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,5,1,0.4126,3,0.24,0.26,0.5,1.06,0.04,482414592,0,482414592,9,221,163840,1654784,7,164,116,0,1,0,90,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,6,1,0.5148,3,0.38,0.32,0.7,1.27,0.05,479219712,0,479219712,9,226,163840,1777664,7,168,120,0,3,0,310,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,7,1,0.6168,3,0.52,0.34,0.8600000000000001,1.52,0.05,487202816,0,487202816,9,226,163840,1777664,7,168,120,0,4,0,400,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,8,1,0.719,3,0.76,0.35,1.1099999999999999,1.69,0.05,499331072,0,499331072,9,226,163840,1777664,7,168,120,0,4,0,400,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,9,1,0.8212,3,0.96,0.38,1.3399999999999999,1.87,0.05,515846144,0,515846144,9,226,163840,1777664,7,168,120,0,4,0,400,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,10,1,0.9237,3,1.24,0.39,1.63,1.97,0.05,529522688,0,529522688,9,226,163840,1777664,7,168,120,0,4,0,400,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,11,1,1.0257,3,1.62,0.39,2.0100000000000002,1.99,0.05,533393408,0,533393408,9,226,163840,1777664,7,168,120,0,5,0,486,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,12,1,1.1286,3,1.99,0.4,2.39,2.02,0.05,540102656,0,540102656,9,226,163840,1777664,7,168,120,0,5,0,486,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,13,1,1.2307,3,2.34,0.41,2.75,2.09,0.05,541908992,0,541908992,9,226,163840,1777664,7,168,120,0,5,0,486,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,14,1,1.3332,3,2.53,0.42,2.9499999999999997,2.31,0.05,544747520,0,544747520,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,15,1,1.4353,3,2.8,0.43,3.23,2.44,0.05,546295808,0,546295808,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,16,1,1.5382,3,3.09,0.44,3.53,2.53,0.05,550424576,0,550424576,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,17,1,1.641,3,3.39,0.45,3.8400000000000003,2.63,0.05,557391872,0,557391872,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,18,1,1.7431,3,3.7,0.46,4.16,2.72,0.05,572616704,0,572616704,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,19,1,1.8454,3,4.01,0.46,4.47,2.82,0.05,575197184,0,575197184,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,20,1,1.9475,3,4.27,0.48,4.75,2.94,0.05,578551808,0,578551808,9,226,163840,1777664,7,168,120,0,7,0,706,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,21,1,2.0495,3,4.42,0.49,4.91,3.18,0.05,581623808,0,581623808,12,226,188416,1777664,9,168,124,0,9,0,866,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,22,1,2.1514,3,4.67,0.5,5.17,3.33,0.05,584204288,0,584204288,12,226,188416,1777664,9,168,124,0,9,0,866,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,23,1,2.2533,3,4.87,0.51,5.38,3.52,0.05,590397440,0,590397440,12,226,188416,1777664,9,168,124,0,9,0,866,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,24,1,2.3558,3,5.06,0.53,5.59,3.71,0.05,600461312,0,600461312,12,226,188416,1777664,9,168,124,0,9,0,866,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,25,1,2.4586,3,5.25,0.53,5.78,3.93,0.05,606654464,0,606654464,12,226,188416,1777664,9,168,124,0,9,0,866,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,26,1,2.5608,3,5.42,0.55,5.97,4.17,0.05,588328960,0,588328960,12,226,188416,1777664,9,168,124,0,10,0,956,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity nested,2,27,1,2.6635,3,5.59,0.56,6.15,4.4,0.05,598650880,0,598650880,12,226,188416,1777664,9,168,124,0,10,0,956,0,0,0,0
