name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,2,1,0.1035,3,0.06,0.07,0.13,0.28,0.01,457658368,0,457658368,1,71,4096,737280,1,70,28,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,3,1,0.2054,3,0.11,0.16,0.27,0.49,0.04,461418496,0,461418496,30,212,528384,1646592,17,200,88,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,4,1,0.3075,3,0.14,0.19,0.33,0.79,0.09,464314368,0,464314368,274,216,10948608,1654784,168,201,176,0,1,0,110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,5,1,0.4099,3,0.19,0.23,0.42000000000000004,1.09,0.1,472621056,0,472621056,296,225,11247616,1687552,182,206,216,0,1,0,110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,6,1,0.5125,3,0.25,0.28,0.53,1.35,0.14,462938112,0,462938112,409,233,20025344,1822720,275,212,296,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,7,1,0.6145,3,0.32,0.31,0.63,1.62,0.17,466055168,0,466055168,496,233,27262976,1822720,343,212,368,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,8,1,0.7173,3,0.41,0.32,0.73,1.87,0.22,468889600,0,468889600,675,233,29310976,1822720,402,212,464,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,9,1,0.8195,3,0.46,0.33,0.79,2.18,0.26,480346112,0,480346112,784,233,37908480,1822720,467,212,524,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,10,1,0.9214,3,0.55,0.35,0.9,2.42,0.32,484306944,0,484306944,978,233,40914944,1822720,535,212,620,0,4,0,420,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,11,1,1.0234,3,0.68,0.36,1.04,2.62,0.38,489299968,0,489299968,1183,233,43405312,1822720,603,212,720,0,4,0,420,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,12,1,1.1254,3,0.79,0.37,1.1600000000000001,2.86,0.43,493981696,0,493981696,1361,233,45060096,1822720,660,212,808,0,4,0,420,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,13,1,1.2275,3,0.86,0.39,1.25,3.11,0.5,505724928,0,505724928,1574,233,48914432,1822720,736,212,912,0,5,0,510,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,14,1,1.3299,3,0.91,0.41,1.32,3.39,0.57,506454016,0,506454016,1817,233,52056064,1822720,815,212,1012,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,15,1,1.4317,3,0.93,0.41,1.34,3.68,0.65,507543552,0,507543552,2081,233,55287808,1822720,898,212,1116,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,16,1,1.5338,3,1.09,0.42,1.51,3.87,0.69,518393856,0,518393856,2245,233,58445824,1822720,961,212,1212,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,17,1,1.6368,3,1.41,0.42,1.8299999999999998,3.94,0.71,522330112,0,522330112,2305,233,59404288,1822720,984,212,1288,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,18,1,1.7387,3,1.66,0.44,2.1,4.07,0.72,524173312,0,524173312,2332,233,59641856,1822720,994,212,1336,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,19,1,1.8406,3,1.91,0.44,2.35,4.21,0.74,531013632,0,531013632,2398,233,60526592,1822720,1018,212,1404,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,20,1,1.9435,3,2.16,0.45,2.6100000000000003,4.34,0.76,533233664,0,533233664,2489,233,61661184,1822720,1048,212,1484,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,21,1,2.0454,3,2.3,0.45,2.75,4.57,0.77,535711744,0,535711744,2565,234,62881792,1830912,1077,212,1568,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,22,1,2.1478,3,2.55,0.47,3.0199999999999996,4.73,0.79,536891392,0,536891392,2620,234,63672320,1830912,1097,212,1628,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,23,1,2.2497,3,2.81,0.49,3.3,4.85,0.8,541200384,0,541200384,2660,234,64110592,1830912,1113,212,1684,0,8,0,816,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,24,1,2.3522,3,3.02,0.59,3.61,4.9,0.83,547946496,0,547946496,2769,637,65273856,28590080,1156,1468,1828,0,12,0,1196,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,25,1,2.4541,3,3.26,0.63,3.8899999999999997,4.98,0.86,555352064,0,555352064,2834,734,65818624,43618304,1181,1912,1956,0,12,0,1196,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,26,1,2.5563,3,3.53,0.64,4.17,5.08,0.87,562147328,0,562147328,2894,734,66469888,43618304,1202,1912,2016,0,12,0,1196,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,27,1,2.6585,3,3.71,0.67,4.38,5.25,0.9,564125696,0,564125696,2980,734,67244032,43618304,1230,1912,2100,0,12,0,1196,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,28,1,2.7606,3,3.89,0.67,4.5600000000000005,5.45,0.92,565817344,0,565817344,3085,734,68591616,43618304,1266,1912,2200,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,29,1,2.8625,3,4.07,0.67,4.74,5.68,0.93,569917440,0,569917440,3123,734,69332992,43618304,1282,1912,2260,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,30,1,2.9654,3,4.18,0.69,4.869999999999999,5.94,0.95,571437056,0,571437056,3198,734,70234112,43618304,1307,1912,2344,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,31,1,3.0672,3,4.34,0.7,5.04,6.14,0.98,572674048,0,572674048,3311,734,71745536,43618304,1348,1912,2440,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,32,1,3.1692,3,4.48,0.71,5.19,6.37,1.0,577437696,0,577437696,3404,734,72658944,43618304,1382,1912,2536,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,33,1,3.2717,3,4.69,0.71,5.4,6.55,1.02,582893568,0,582893568,3476,734,73912320,43618304,1408,1912,2624,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,34,1,3.3738,3,4.89,0.72,5.609999999999999,6.72,1.04,587866112,0,587866112,3542,734,74616832,43618304,1433,1912,2708,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,35,1,3.4763,3,5.14,0.75,5.89,6.84,1.05,595988480,0,595988480,3606,734,75587584,43618304,1459,1912,2780,0,13,0,1286,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,36,1,3.5791,3,5.39,0.78,6.17,6.96,1.06,579272704,0,579272704,3627,734,75898880,43618304,1469,1912,2828,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,37,1,3.6812,3,5.65,0.79,6.44,7.09,1.07,588386304,0,588386304,3678,734,76943360,43618304,1490,1912,2896,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,38,1,3.7831,3,5.87,0.8,6.67,7.26,1.07,595161088,0,595161088,3688,734,77041664,43618304,1494,1912,2924,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,39,1,3.8854,3,6.1,0.81,6.91,7.4,1.08,599838720,0,599838720,3711,734,77266944,43618304,1502,1912,2960,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,40,1,3.9874,3,6.49,0.81,7.300000000000001,7.43,1.08,603443200,0,603443200,3712,734,77275136,43618304,1503,1912,2964,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,41,1,4.09,3,6.83,0.82,7.65,7.47,1.09,608395264,0,608395264,3750,734,77996032,43618304,1519,1912,3032,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,42,1,4.1929,3,7.18,0.83,8.01,7.52,1.1,612843520,0,612843520,3784,734,78446592,43618304,1533,1912,3092,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,43,1,4.2949,3,7.52,0.84,8.36,7.57,1.1,618946560,0,618946560,3818,734,78819328,43618304,1547,1912,3144,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,44,1,4.3969,3,7.85,0.84,8.69,7.62,1.11,622403584,0,622403584,3842,734,79482880,43618304,1557,1912,3192,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,45,1,4.4989,3,8.07,0.86,8.93,7.79,1.11,625602560,0,625602560,3868,734,79953920,43618304,1569,1912,3248,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,46,1,4.6014,3,8.3,0.87,9.17,7.96,1.13,627879936,0,627879936,3931,734,81387520,43618304,1598,1912,3332,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,47,1,4.7034,3,8.6,0.88,9.48,8.04,1.16,628690944,0,628690944,4026,734,83001344,43618304,1632,1912,3416,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,48,1,4.8057,3,8.84,0.9,9.74,8.17,1.18,629891072,0,629891072,4130,734,84639744,43618304,1669,1912,3496,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,49,1,4.9082,3,9.01,0.92,9.93,8.37,1.21,633774080,0,633774080,4235,734,87207936,43618304,1716,1912,3600,1,14,42,1328,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / heterogeneity tabular,5,50,1,5.0101,3,9.27,0.92,10.19,8.5,1.22,639864832,0,639864832,4274,734,87568384,43618304,1729,1912,3652,1,14,42,1328,0,0,0,0
