name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,2,1,0.1037,3,0.04,0.08,0.12,0.27,0.03,459231232,0,459231232,0,115,0,1028096,0,138,28,0,0,0,0,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,3,1,0.2056,3,0.09,0.16,0.25,0.49,0.05,466333696,0,466333696,30,204,802816,1605632,27,189,92,0,1,0,110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,4,1,0.3079,3,0.11,0.2,0.31,0.78,0.11,469274624,0,469274624,333,208,15581184,1613824,252,190,188,0,1,0,110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,5,1,0.41,3,0.17,0.22,0.39,1.06,0.15,480923648,0,480923648,521,211,18890752,1626112,357,192,284,0,1,0,110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,6,1,0.5119,3,0.22,0.25,0.47,1.35,0.17,473632768,0,473632768,604,225,23379968,1781760,415,199,336,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,7,1,0.6139,3,0.31,0.27,0.5800000000000001,1.61,0.21,481394688,0,481394688,699,225,33918976,1781760,499,199,404,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,8,1,0.7165,3,0.4,0.29,0.69,1.86,0.27,485023744,0,485023744,887,225,36024320,1781760,558,199,508,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,9,1,0.8187,3,0.44,0.32,0.76,2.17,0.29,497315840,0,497315840,1010,225,38400000,1781760,601,199,560,0,2,0,200,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,10,1,0.9214,3,0.56,0.34,0.9000000000000001,2.38,0.34,503709696,0,503709696,1199,225,39231488,1781760,657,199,648,0,4,0,420,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,11,1,1.0233,3,0.75,0.35,1.1,2.58,0.37,507215872,0,507215872,1352,225,39911424,1781760,705,199,736,0,4,0,420,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,12,1,1.1253,3,0.87,0.36,1.23,2.82,0.43,519069696,0,519069696,1567,225,40902656,1781760,770,199,836,0,5,0,506,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,13,1,1.2274,3,0.89,0.38,1.27,3.11,0.5,518516736,0,518516736,1836,225,44019712,1781760,854,199,936,0,7,0,726,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,14,1,1.3294,3,1.08,0.38,1.46,3.26,0.55,525746176,0,525746176,2014,225,47386624,1781760,920,199,1040,0,9,0,946,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,15,1,1.4312,3,1.39,0.39,1.7799999999999998,3.33,0.57,528134144,0,528134144,2074,225,48353280,1781760,943,199,1104,0,10,0,1036,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,16,1,1.5331,3,1.71,0.4,2.11,3.39,0.58,529465344,0,529465344,2099,225,48570368,1781760,951,199,1144,0,10,0,1036,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,17,1,1.635,3,1.99,0.42,2.41,3.49,0.59,536985600,0,536985600,2165,225,49565696,1781760,975,199,1220,1,11,74,1110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,18,1,1.7378,3,2.16,0.42,2.58,3.69,0.62,538550272,0,538550272,2261,225,50839552,1781760,1008,199,1312,1,11,74,1110,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,19,1,1.8398,3,2.3,0.44,2.7399999999999998,3.92,0.64,543027200,0,543027200,2350,225,51933184,1781760,1039,199,1388,3,13,228,1283,0,0,0,0
rpt-sansa: Virtuoso: track2 / gtfs-madrid-bench / scale 100,5,20,1,1.9418,3,2.55,0.46,3.01,4.07,0.64,544866304,0,544866304,2381,225,52523008,1781760,1052,199,1432,3,13,228,1283,0,0,0,0
