name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,2,1,0.1035,3,0.05,0.06,0.11,0.28,0.02,474378240,0,474378240,0,137,0,1196032,0,126,32,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,3,1,0.2054,3,0.11,0.14,0.25,0.51,0.03,482611200,0,482611200,0,210,0,1609728,0,162,72,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,4,1,0.3073,3,0.16,0.17,0.33,0.82,0.03,493604864,0,493604864,0,213,0,1622016,0,164,76,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,5,1,0.4095,3,0.28,0.2,0.48000000000000004,1.07,0.04,496406528,0,496406528,0,227,0,1773568,0,172,96,0,2,0,176,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,6,1,0.5114,3,0.42,0.22,0.64,1.3,0.04,502157312,0,502157312,0,227,0,1773568,0,172,96,0,2,0,176,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,7,1,0.6133,3,0.6,0.23,0.83,1.5,0.04,520220672,0,520220672,0,227,0,1773568,0,172,96,0,4,0,396,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,8,1,0.7153,3,0.84,0.26,1.1,1.63,0.04,532865024,0,532865024,0,227,0,1773568,0,172,96,0,4,0,396,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,9,1,0.8179,3,1.12,0.28,1.4000000000000001,1.74,0.04,542154752,0,542154752,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,10,1,0.9201,3,1.47,0.29,1.76,1.79,0.04,544993280,0,544993280,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,11,1,1.022,3,1.76,0.31,2.07,1.87,0.04,550670336,0,550670336,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,12,1,1.1244,3,2.0,0.33,2.33,2.01,0.04,552992768,0,552992768,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,13,1,1.2263,3,2.26,0.33,2.59,2.16,0.04,554799104,0,554799104,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,14,1,1.3284,3,2.57,0.34,2.9099999999999997,2.26,0.04,558669824,0,558669824,0,227,0,1773568,0,172,96,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,15,1,1.4308,3,2.87,0.36,3.23,2.33,0.04,566411264,0,566411264,0,227,0,1773568,0,172,96,0,7,0,646,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,16,1,1.5328,3,3.22,0.36,3.58,2.39,0.04,581378048,0,581378048,0,227,0,1773568,0,172,96,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,17,1,1.6351,3,3.5,0.37,3.87,2.52,0.04,583958528,0,583958528,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,18,1,1.737,3,3.78,0.37,4.1499999999999995,2.65,0.04,588861440,0,588861440,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,19,1,1.8393,3,3.96,0.38,4.34,2.86,0.04,591441920,0,591441920,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,20,1,1.9413,3,4.19,0.38,4.57,3.04,0.04,597118976,0,597118976,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,21,1,2.0432,3,4.4,0.38,4.78,3.23,0.04,605118464,0,605118464,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,22,1,2.1452,3,4.69,0.39,5.08,3.36,0.04,613376000,0,613376000,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,23,1,2.247,3,4.92,0.41,5.33,3.5,0.04,597889024,0,597889024,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,24,1,2.349,3,5.19,0.43,5.62,3.62,0.04,604598272,0,604598272,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,25,1,2.451,3,5.43,0.43,5.859999999999999,3.78,0.04,609759232,0,609759232,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,26,1,2.553,3,5.75,0.44,6.19,3.87,0.04,614404096,0,614404096,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,27,1,2.6549,3,6.09,0.45,6.54,3.91,0.04,619565056,0,619565056,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,28,1,2.7569,3,6.46,0.46,6.92,3.96,0.04,626016256,0,626016256,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,29,1,2.86,3,6.8,0.47,7.27,4.03,0.04,631693312,0,631693312,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,30,1,2.9619,3,7.11,0.48,7.59,4.11,0.04,637370368,0,637370368,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,31,1,3.064,3,7.42,0.48,7.9,4.23,0.04,644853760,0,644853760,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,32,1,3.166,3,7.72,0.5,8.219999999999999,4.31,0.04,650530816,0,650530816,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,33,1,3.2686,3,8.06,0.53,8.59,4.36,0.04,660336640,0,660336640,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,34,1,3.3704,3,8.36,0.54,8.899999999999999,4.44,0.04,670658560,0,670658560,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,35,1,3.4723,3,8.67,0.56,9.23,4.53,0.04,694140928,0,694140928,0,227,0,1773568,0,172,96,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,36,1,3.5741,3,9.0,0.57,9.57,4.59,0.04,702656512,0,702656512,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,37,1,3.676,3,9.34,0.58,9.92,4.65,0.04,707424256,0,707424256,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,38,1,3.7779,3,9.62,0.61,10.229999999999999,4.74,0.04,709226496,0,709226496,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,39,1,3.8798,3,9.94,0.61,10.549999999999999,4.81,0.04,711032832,0,711032832,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,40,1,3.9818,3,10.24,0.62,10.86,4.9,0.04,711290880,0,711290880,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,41,1,4.0837,3,10.56,0.63,11.190000000000001,4.99,0.04,713871360,0,713871360,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,42,1,4.1857,3,10.84,0.63,11.47,5.11,0.04,715415552,0,715415552,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,43,1,4.2877,3,11.02,0.64,11.66,5.32,0.04,716189696,0,716189696,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,44,1,4.3907,3,11.02,0.64,11.66,5.73,0.04,716189696,0,716189696,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,45,1,4.4936,3,11.02,0.65,11.67,6.14,0.04,716189696,0,716189696,0,229,0,1855488,0,172,100,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,46,1,4.5956,3,11.03,0.69,11.719999999999999,6.5,0.04,458526720,0,458526720,0,230,0,1863680,0,172,104,0,10,0,956,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,47,1,4.6978,3,11.06,0.74,11.8,6.8,0.04,462168064,0,462168064,0,259,0,1957888,0,185,124,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,5,48,1,4.8007,3,11.1,0.8,11.9,7.07,0.08,463794176,0,463794176,0,485,0,3293184,0,430,164,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,49,2,5.003,3,11.16,0.83,11.99,7.67,0.16,494870528,0,494870528,6,766,139264,19529728,6,635,244,1,3,54,596,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,50,2,5.1048,3,11.2,0.9,12.1,7.94,0.18,480628736,0,480628736,6,896,139264,20619264,6,785,272,1,3,54,596,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,51,2,5.2067,3,11.25,0.98,12.23,8.17,0.19,485552128,0,485552128,6,972,139264,21102592,6,822,304,1,3,54,596,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,52,2,5.3091,3,11.32,1.02,12.34,8.48,0.19,503631872,0,503631872,6,983,139264,21139456,6,827,316,1,3,54,596,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,53,2,5.4116,3,11.44,1.06,12.5,8.71,0.2,490508288,0,490508288,6,993,139264,21274624,6,832,328,1,4,54,686,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,54,2,5.5135,3,11.58,1.08,12.66,8.97,0.2,500056064,0,500056064,6,993,139264,21274624,6,832,328,1,4,54,686,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,55,2,5.6155,3,11.77,1.09,12.86,9.16,0.2,510636032,0,510636032,6,993,139264,21274624,6,832,328,1,4,54,686,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,56,2,5.7177,3,12.07,1.12,13.190000000000001,9.24,0.2,536698880,0,536698880,6,993,139264,21274624,6,832,328,1,5,54,772,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,57,2,5.8202,3,12.42,1.13,13.55,9.3,0.2,540569600,0,540569600,6,993,139264,21274624,6,832,328,1,7,54,992,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,58,2,5.9224,3,12.78,1.15,13.93,9.32,0.2,542892032,0,542892032,6,993,139264,21274624,6,832,328,1,9,54,1212,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,59,2,6.0249,3,13.08,1.16,14.24,9.41,0.2,550891520,0,550891520,6,993,139264,21274624,6,832,328,1,9,54,1212,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,60,2,6.1275,3,13.25,1.18,14.43,9.63,0.2,553730048,0,553730048,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,61,2,6.2294,3,13.55,1.19,14.74,9.74,0.2,555782144,0,555782144,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,62,2,6.3313,3,13.86,1.19,15.049999999999999,9.83,0.2,563249152,0,563249152,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,63,2,6.4333,3,14.19,1.22,15.41,9.89,0.2,580796416,0,580796416,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,64,2,6.5353,3,14.49,1.22,15.71,9.97,0.2,583634944,0,583634944,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,65,2,6.6372,3,14.72,1.24,15.96,10.12,0.2,586473472,0,586473472,6,993,139264,21274624,6,832,328,1,10,54,1302,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,66,2,6.7399,3,14.92,1.25,16.17,10.32,0.2,589828096,0,589828096,6,993,139264,21274624,6,832,328,1,12,54,1462,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,67,2,6.8418,3,15.15,1.26,16.41,10.5,0.2,591892480,0,591892480,6,993,139264,21274624,6,832,328,1,12,54,1462,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,68,2,6.9439,3,15.38,1.26,16.64,10.67,0.2,599375872,0,599375872,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,69,2,7.0462,3,15.59,1.27,16.86,10.85,0.2,610213888,0,610213888,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,70,2,7.1481,3,15.87,1.28,17.15,10.97,0.2,621826048,0,621826048,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,71,2,7.2501,3,16.09,1.29,17.38,11.13,0.2,598315008,0,598315008,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,72,2,7.352,3,16.37,1.3,17.67,11.25,0.2,608636928,0,608636928,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,73,2,7.4539,3,16.59,1.31,17.9,11.43,0.2,613023744,0,613023744,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,74,2,7.5564,3,16.93,1.32,18.25,11.5,0.2,616894464,0,616894464,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,75,2,7.659,3,17.29,1.32,18.61,11.53,0.2,621023232,0,621023232,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,76,2,7.7609,3,17.63,1.34,18.97,11.6,0.2,626442240,0,626442240,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,77,2,7.8628,3,17.96,1.36,19.32,11.65,0.2,634183680,0,634183680,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,78,2,7.9647,3,18.29,1.36,19.65,11.73,0.2,635215872,0,635215872,6,993,139264,21274624,6,832,328,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,79,2,8.0667,3,18.54,1.37,19.91,11.85,0.21,640880640,0,640880640,10,1033,208896,23711744,9,887,368,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,80,2,8.1685,3,18.8,1.39,20.19,11.99,0.21,646299648,0,646299648,10,1033,208896,23711744,9,887,368,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,81,2,8.2707,3,19.1,1.4,20.5,12.09,0.21,656105472,0,656105472,10,1033,208896,23711744,9,887,368,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,82,2,8.3726,3,19.39,1.41,20.8,12.2,0.21,663330816,0,663330816,10,1033,208896,23711744,9,887,368,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,83,2,8.4745,3,19.7,1.42,21.119999999999997,12.28,0.21,683974656,0,683974656,10,1033,208896,23711744,9,887,368,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,84,2,8.5765,3,20.01,1.44,21.450000000000003,12.37,0.21,688877568,0,688877568,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,85,2,8.6784,3,20.35,1.46,21.810000000000002,12.41,0.21,691580928,0,691580928,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,86,2,8.7804,3,20.69,1.47,22.16,12.49,0.21,693387264,0,693387264,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,87,2,8.8823,3,20.94,1.49,22.43,12.61,0.21,694419456,0,694419456,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,88,2,8.9841,3,21.25,1.5,22.75,12.69,0.21,694419456,0,694419456,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,89,2,9.0862,3,21.58,1.5,23.08,12.76,0.21,699838464,0,699838464,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,90,2,9.1882,3,21.92,1.5,23.42,12.83,0.21,702160896,0,702160896,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,91,2,9.2902,3,22.24,1.51,23.75,12.89,0.21,705515520,0,705515520,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,92,2,9.3921,3,22.47,1.52,23.99,13.06,0.21,714289152,0,714289152,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,93,2,9.494,3,22.47,1.52,23.99,13.47,0.21,714280960,0,714280960,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,94,2,9.596,3,22.47,1.52,23.99,13.87,0.21,714280960,0,714280960,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,95,2,9.6991,3,22.47,1.54,24.009999999999998,14.25,0.21,490881024,0,490881024,10,1035,208896,23793664,9,887,372,1,13,54,1552,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,96,2,9.8013,3,22.5,1.6,24.1,14.56,0.21,460742656,0,460742656,10,1067,208896,23896064,9,899,396,1,5,54,816,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,3,97,2,9.9037,3,22.55,1.65,24.2,14.83,0.24,466087936,0,466087936,10,1297,208896,25210880,9,1078,428,1,5,54,816,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,98,3,10.0047,3,22.5,1.74,24.24,15.33,0.15,470618112,0,470618112,5,985,335872,6688768,5,705,364,0,4,0,440,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,99,3,10.1093,3,22.59,1.82,24.41,15.53,0.18,483315712,0,483315712,7,1159,360448,8105984,6,817,428,0,4,0,440,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,100,3,10.2113,3,22.66,1.86,24.52,15.81,0.19,503336960,0,503336960,7,1168,360448,8134656,6,820,440,0,4,0,440,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,101,3,10.3132,3,22.68,1.91,24.59,16.12,0.19,487583744,0,487583744,7,1182,360448,8290304,6,828,456,0,5,0,530,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,102,3,10.4159,3,22.86,1.95,24.81,16.32,0.19,498368512,0,498368512,7,1182,360448,8290304,6,828,456,0,5,0,530,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,103,3,10.5181,3,22.99,1.97,24.959999999999997,16.57,0.19,515399680,0,515399680,7,1182,360448,8290304,6,828,456,0,5,0,530,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,104,3,10.62,3,23.21,2.02,25.23,16.68,0.19,530366464,0,530366464,7,1182,360448,8290304,6,828,456,0,6,0,616,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,105,3,10.7221,3,23.5,2.04,25.54,16.78,0.19,539398144,0,539398144,7,1182,360448,8290304,6,828,456,0,6,0,616,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,106,3,10.8241,3,23.86,2.05,25.91,16.83,0.19,541720576,0,541720576,7,1182,360448,8290304,6,828,456,0,8,0,836,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,107,3,10.9261,3,24.17,2.07,26.240000000000002,16.92,0.19,545849344,0,545849344,7,1182,360448,8290304,6,828,456,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,108,3,11.0286,3,24.42,2.09,26.51,17.04,0.19,548429824,0,548429824,7,1182,360448,8290304,6,828,456,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,109,3,11.1305,3,24.63,2.1,26.73,17.23,0.19,551010304,0,551010304,7,1182,360448,8290304,6,828,456,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,110,3,11.2324,3,24.88,2.12,27.0,17.35,0.19,554106880,0,554106880,7,1182,360448,8290304,6,828,456,0,11,0,1146,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,111,3,11.3343,3,25.21,2.13,27.34,17.43,0.19,562364416,0,562364416,7,1182,360448,8290304,6,828,456,0,11,0,1146,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,112,3,11.4367,3,25.52,2.16,27.68,17.49,0.19,576040960,0,576040960,7,1182,360448,8290304,6,828,456,0,11,0,1146,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,113,3,11.5391,3,25.77,2.16,27.93,17.65,0.19,578621440,0,578621440,7,1182,360448,8290304,6,828,456,0,11,0,1146,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,114,3,11.641,3,25.99,2.16,28.15,17.84,0.19,582234112,0,582234112,7,1182,360448,8290304,6,828,456,0,11,0,1146,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,115,3,11.7429,3,26.1,2.18,28.28,18.11,0.19,584810496,0,584810496,8,1182,364544,8290304,6,828,460,0,13,0,1306,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,116,3,11.8452,3,26.33,2.18,28.509999999999998,18.3,0.19,587132928,0,587132928,8,1182,364544,8290304,6,828,460,0,13,0,1306,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,117,3,11.9471,3,26.54,2.19,28.73,18.48,0.19,596422656,0,596422656,8,1182,364544,8290304,6,828,460,0,14,0,1396,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,118,3,12.0491,3,26.78,2.2,28.98,18.63,0.19,605712384,0,605712384,8,1182,364544,8290304,6,828,460,0,14,0,1396,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,119,3,12.151,3,27.0,2.22,29.22,18.78,0.19,583757824,0,583757824,8,1182,364544,8290304,6,828,460,0,14,0,1396,0,0,0,0
rpt-sansa: track2 / joins / join 1-1 / join 1-1 75percent,2,120,3,12.2527,3,27.26,2.22,29.48,18.93,0.19,596402176,0,596402176,8,1182,364544,8290304,6,828,460,0,14,0,1396,0,0,0,0
