name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,2,1,0.1044,3,0.08,0.02,0.1,0.28,0.01,476913664,0,476913664,0,65,0,696320,0,60,24,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,3,1,0.2063,3,0.14,0.1,0.24000000000000002,0.51,0.03,483467264,0,483467264,0,203,0,1568768,0,148,72,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,4,1,0.3081,3,0.2,0.15,0.35,0.8,0.03,501805056,0,501805056,0,206,0,1581056,0,150,76,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,5,1,0.4101,3,0.27,0.19,0.46,1.07,0.04,496058368,0,496058368,0,220,0,1732608,0,158,92,0,1,0,90,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,6,1,0.5124,3,0.47,0.2,0.6699999999999999,1.3,0.04,500301824,0,500301824,0,220,0,1732608,0,158,92,0,1,0,90,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,7,1,0.6144,3,0.57,0.24,0.8099999999999999,1.56,0.04,516284416,0,516284416,0,220,0,1732608,0,158,92,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,8,1,0.7165,3,0.83,0.27,1.1,1.68,0.04,536154112,0,536154112,0,220,0,1732608,0,158,92,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,9,1,0.8184,3,1.09,0.28,1.37,1.8,0.04,550604800,0,550604800,0,220,0,1732608,0,158,92,0,4,0,400,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,10,1,0.9204,3,1.46,0.29,1.75,1.84,0.04,553701376,0,553701376,0,220,0,1732608,0,158,92,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,11,1,1.0224,3,1.83,0.3,2.13,1.88,0.04,558088192,0,558088192,0,220,0,1732608,0,158,92,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,12,1,1.1243,3,2.1,0.3,2.4,2.03,0.04,560668672,0,560668672,0,220,0,1732608,0,158,92,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,13,1,1.2264,3,2.33,0.31,2.64,2.18,0.04,563249152,0,563249152,0,220,0,1732608,0,158,92,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,14,1,1.329,3,2.63,0.32,2.9499999999999997,2.29,0.04,564281344,0,564281344,0,220,0,1732608,0,158,92,0,5,0,486,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,15,1,1.4313,3,2.98,0.35,3.33,2.34,0.04,573054976,0,573054976,0,220,0,1732608,0,158,92,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,16,1,1.5339,3,3.28,0.38,3.6599999999999997,2.41,0.04,585957376,0,585957376,0,220,0,1732608,0,158,92,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,17,1,1.6367,3,3.57,0.39,3.96,2.52,0.04,589312000,0,589312000,0,220,0,1732608,0,158,92,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,18,1,1.7393,3,3.84,0.4,4.24,2.65,0.04,593440768,0,593440768,0,220,0,1732608,0,158,92,1,8,42,748,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,19,1,1.8413,3,3.99,0.4,4.390000000000001,2.89,0.04,596021248,0,596021248,0,220,0,1732608,0,158,92,1,8,42,748,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,20,1,1.9432,3,4.17,0.4,4.57,3.11,0.04,601182208,0,601182208,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,21,1,2.0458,3,4.39,0.41,4.8,3.29,0.04,609181696,0,609181696,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,22,1,2.1477,3,4.67,0.42,5.09,3.41,0.04,617439232,0,617439232,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,23,1,2.2496,3,4.9,0.44,5.340000000000001,3.56,0.04,604016640,0,604016640,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,24,1,2.3514,3,5.16,0.46,5.62,3.69,0.04,614338560,0,614338560,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,25,1,2.4533,3,5.43,0.46,5.89,3.82,0.04,620531712,0,620531712,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,26,1,2.5554,3,5.69,0.46,6.15,3.97,0.04,624918528,0,624918528,0,220,0,1732608,0,158,92,1,10,42,908,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,27,1,2.6574,3,6.04,0.47,6.51,4.01,0.04,627757056,0,627757056,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,28,1,2.7593,3,6.41,0.48,6.890000000000001,4.04,0.04,633176064,0,633176064,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,29,1,2.8612,3,6.75,0.49,7.24,4.09,0.04,639627264,0,639627264,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,30,1,2.9631,3,7.09,0.5,7.59,4.14,0.04,646852608,0,646852608,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,31,1,3.065,3,7.44,0.5,7.94,4.19,0.04,657690624,0,657690624,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,32,1,3.1671,3,7.65,0.52,8.17,4.38,0.04,665174016,0,665174016,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,33,1,3.269,3,7.95,0.53,8.48,4.47,0.04,673689600,0,673689600,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,34,1,3.3713,3,8.2,0.54,8.739999999999998,4.63,0.04,681172992,0,681172992,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,35,1,3.4732,3,8.52,0.56,9.08,4.7,0.04,696913920,0,696913920,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,36,1,3.5751,3,8.82,0.57,9.39,4.8,0.04,714203136,0,714203136,0,220,0,1732608,0,158,92,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,37,1,3.677,3,9.1,0.58,9.68,4.91,0.04,716906496,0,716906496,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,38,1,3.7789,3,9.45,0.58,10.03,4.96,0.04,722325504,0,722325504,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,39,1,3.8808,3,9.71,0.59,10.3,5.11,0.04,723095552,0,723095552,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,40,1,3.9826,3,10.02,0.6,10.62,5.21,0.04,725676032,0,725676032,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,41,1,4.0845,3,10.33,0.6,10.93,5.29,0.04,728256512,0,728256512,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,42,1,4.1865,3,10.56,0.61,11.17,5.45,0.04,730578944,0,730578944,0,222,0,1814528,0,158,96,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,43,1,4.2885,3,10.82,0.62,11.44,5.59,0.04,731607040,0,731607040,0,223,0,1818624,0,158,100,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,44,1,4.3904,3,11.03,0.62,11.649999999999999,5.79,0.04,733929472,0,733929472,0,223,0,1818624,0,158,100,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,45,1,4.4925,3,11.04,0.62,11.659999999999998,6.19,0.04,733929472,0,733929472,0,223,0,1818624,0,158,100,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,46,1,4.5944,3,11.04,0.62,11.659999999999998,6.6,0.04,733929472,0,733929472,0,223,0,1818624,0,158,100,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,47,1,4.6965,3,11.04,0.65,11.69,6.97,0.04,458797056,0,458797056,0,224,0,1826816,0,158,104,1,11,42,998,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,48,1,4.7983,3,11.06,0.69,11.75,7.28,0.05,464781312,0,464781312,0,253,0,1921024,0,172,128,1,3,42,262,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,5,49,1,4.9003,3,11.1,0.73,11.83,7.57,0.07,472444928,0,472444928,0,485,0,3272704,0,395,160,1,3,42,262,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,50,2,4.9003,3,10.95,0.85,11.799999999999999,7.64,0.07,471711744,0,471711744,0,504,0,3407872,0,398,172,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,51,2,5.0033,3,11.06,0.94,12.0,7.84,0.1,475160576,0,475160576,0,686,0,4882432,0,535,224,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,52,2,5.1064,3,11.12,0.99,12.11,8.13,0.1,484450304,0,484450304,0,712,0,4993024,0,546,236,0,2,0,220,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,53,2,5.2085,3,11.16,1.02,12.18,8.44,0.1,484478976,0,484478976,0,721,0,5025792,0,552,248,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,54,2,5.3103,3,11.3,1.05,12.350000000000001,8.67,0.11,493850624,0,493850624,0,729,0,5156864,0,557,260,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,55,2,5.4126,3,11.43,1.06,12.49,8.94,0.11,503398400,0,503398400,0,729,0,5156864,0,557,260,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,56,2,5.5145,3,11.64,1.09,12.73,9.1,0.11,515784704,0,515784704,0,729,0,5156864,0,557,260,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,57,2,5.6165,3,11.87,1.13,13.0,9.23,0.11,533331968,0,533331968,0,729,0,5156864,0,557,260,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,58,2,5.7194,3,12.22,1.14,13.360000000000001,9.28,0.11,539267072,0,539267072,0,729,0,5156864,0,557,260,0,5,0,530,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,59,2,5.8223,3,12.63,1.14,13.770000000000001,9.3,0.11,540557312,0,540557312,0,729,0,5156864,0,557,260,0,5,0,530,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,60,2,5.9242,3,12.92,1.16,14.08,9.37,0.11,547782656,0,547782656,0,729,0,5156864,0,557,260,0,6,0,620,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,61,2,6.0261,3,13.13,1.17,14.3,9.56,0.11,550866944,0,550866944,0,729,0,5156864,0,557,260,0,6,0,620,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,62,2,6.1282,3,13.4,1.18,14.58,9.68,0.11,553431040,0,553431040,0,729,0,5156864,0,557,260,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,63,2,6.2301,3,13.7,1.21,14.91,9.76,0.11,560656384,0,560656384,0,729,0,5156864,0,557,260,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,64,2,6.332,3,14.01,1.23,15.24,9.82,0.11,572010496,0,572010496,0,729,0,5156864,0,557,260,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,65,2,6.434,3,14.31,1.24,15.55,9.93,0.11,580009984,0,580009984,0,729,0,5156864,0,557,260,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,66,2,6.5359,3,14.57,1.24,15.81,10.06,0.11,583880704,0,583880704,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,67,2,6.6378,3,14.78,1.26,16.04,10.24,0.11,586719232,0,586719232,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,68,2,6.7401,3,15.01,1.26,16.27,10.42,0.11,589815808,0,589815808,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,69,2,6.843,3,15.21,1.28,16.490000000000002,10.61,0.11,597815296,0,597815296,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,70,2,6.945,3,15.46,1.28,16.740000000000002,10.76,0.11,603750400,0,603750400,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,71,2,7.047,3,15.73,1.3,17.03,10.88,0.11,586174464,0,586174464,0,729,0,5156864,0,557,260,0,9,0,926,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,72,2,7.1489,3,15.97,1.3,17.27,11.03,0.11,597270528,0,597270528,0,729,0,5156864,0,557,260,0,11,0,1086,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,73,2,7.2508,3,16.25,1.32,17.57,11.16,0.11,603721728,0,603721728,0,729,0,5156864,0,557,260,0,11,0,1086,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,74,2,7.3526,3,16.49,1.32,17.81,11.3,0.11,609914880,0,609914880,0,729,0,5156864,0,557,260,0,11,0,1086,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,75,2,7.4545,3,16.85,1.34,18.19,11.34,0.11,614301696,0,614301696,0,729,0,5156864,0,557,260,0,11,0,1086,0,0,0,0
rpt-sansa: track2 / joins / join 1-N / join 1-10 25percent,3,76,2,7.5563,3,17.2,1.34,18.54,11.39,0.11,619720704,0,619720704,0,729,0,5156864,0,557,260,0,11,0,1086,0,0,0,0
