name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,2,1,0.1042,3,0.08,0.05,0.13,0.27,0.02,474693632,0,474693632,0,70,0,675840,0,62,16,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,3,1,0.2061,3,0.14,0.13,0.27,0.49,0.04,485761024,0,485761024,0,213,0,1613824,0,150,60,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,4,1,0.308,3,0.21,0.17,0.38,0.79,0.04,503230464,0,503230464,0,216,0,1626112,0,151,64,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,5,1,0.4099,3,0.27,0.2,0.47000000000000003,1.08,0.04,501682176,0,501682176,0,230,0,1777664,0,159,80,0,1,0,90,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,6,1,0.5118,3,0.42,0.22,0.64,1.31,0.04,503078912,0,503078912,0,230,0,1777664,0,159,80,0,1,0,90,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,7,1,0.6146,3,0.57,0.24,0.8099999999999999,1.53,0.04,522174464,0,522174464,0,230,0,1777664,0,159,80,0,4,0,396,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,8,1,0.7164,3,0.84,0.28,1.12,1.61,0.04,532238336,0,532238336,0,230,0,1777664,0,159,80,0,4,0,396,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,9,1,0.8194,3,1.17,0.29,1.46,1.69,0.04,538173440,0,538173440,0,230,0,1777664,0,159,80,0,6,0,616,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,10,1,0.9224,3,1.57,0.29,1.86,1.7,0.04,540495872,0,540495872,0,230,0,1777664,0,159,80,0,6,0,616,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,11,1,1.0253,3,1.92,0.3,2.2199999999999998,1.75,0.04,548237312,0,548237312,0,230,0,1777664,0,159,80,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,12,1,1.1272,3,2.19,0.31,2.5,1.9,0.04,551075840,0,551075840,0,230,0,1777664,0,159,80,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,13,1,1.2291,3,2.54,0.31,2.85,1.95,0.04,553656320,0,553656320,0,230,0,1777664,0,159,80,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,14,1,1.331,3,2.88,0.32,3.1999999999999997,2.04,0.04,558559232,0,558559232,0,230,0,1777664,0,159,80,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,15,1,1.4339,3,3.23,0.34,3.57,2.08,0.04,566042624,0,566042624,0,230,0,1777664,0,159,80,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,16,1,1.5369,3,3.55,0.35,3.9,2.15,0.04,581009408,0,581009408,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,17,1,1.6389,3,3.78,0.37,4.1499999999999995,2.32,0.04,583589888,0,583589888,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,18,1,1.7413,3,4.0,0.37,4.37,2.5,0.04,587718656,0,587718656,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,19,1,1.8438,3,4.2,0.37,4.57,2.71,0.04,590299136,0,590299136,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,20,1,1.9458,3,4.44,0.38,4.82,2.88,0.04,595976192,0,595976192,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,21,1,2.0484,3,4.64,0.38,5.02,3.07,0.04,604749824,0,604749824,0,230,0,1777664,0,159,80,0,9,0,866,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,22,1,2.1509,3,4.93,0.4,5.33,3.19,0.04,612749312,0,612749312,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,23,1,2.2528,3,5.19,0.42,5.61,3.3,0.04,601395200,0,601395200,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,24,1,2.3548,3,5.46,0.42,5.88,3.44,0.04,603717632,0,603717632,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,25,1,2.4567,3,5.72,0.43,6.1499999999999995,3.58,0.04,608620544,0,608620544,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,26,1,2.5587,3,6.0,0.44,6.44,3.71,0.04,613523456,0,613523456,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,27,1,2.6611,3,6.34,0.44,6.78,3.75,0.04,618426368,0,618426368,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,28,1,2.7643,3,6.71,0.45,7.16,3.79,0.04,623329280,0,623329280,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,29,1,2.8662,3,7.07,0.45,7.5200000000000005,3.84,0.04,629522432,0,629522432,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,30,1,2.9681,3,7.39,0.46,7.85,3.89,0.04,635457536,0,635457536,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,31,1,3.0699,3,7.73,0.47,8.200000000000001,3.95,0.04,643457024,0,643457024,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,32,1,3.1718,3,7.95,0.48,8.43,4.11,0.04,650940416,0,650940416,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,33,1,3.2741,3,8.3,0.48,8.780000000000001,4.18,0.04,659197952,0,659197952,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,34,1,3.3768,3,8.57,0.48,9.05,4.3,0.04,667713536,0,667713536,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,35,1,3.4787,3,8.9,0.5,9.4,4.37,0.04,677261312,0,677261312,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,36,1,3.581,3,9.25,0.52,9.77,4.4,0.04,705904640,0,705904640,0,230,0,1777664,0,159,80,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,37,1,3.683,3,9.58,0.53,10.11,4.48,0.04,708227072,0,708227072,0,232,0,1859584,0,159,84,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,38,1,3.7852,3,9.92,0.55,10.47,4.51,0.04,709152768,0,709152768,6,280,159744,4759552,4,253,112,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,39,1,3.8875,3,10.22,0.57,10.790000000000001,4.61,0.05,711274496,0,711274496,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,40,1,3.9899,3,10.54,0.57,11.11,4.7,0.05,713338880,0,713338880,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,41,1,4.0918,3,10.75,0.57,11.32,4.89,0.05,713338880,0,713338880,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,42,1,4.1938,3,11.01,0.59,11.6,5.05,0.05,713338880,0,713338880,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,43,1,4.296,3,11.24,0.59,11.83,5.21,0.05,713592832,0,713592832,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,44,1,4.3989,3,11.51,0.62,12.129999999999999,5.33,0.05,715141120,0,715141120,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,45,1,4.5011,3,11.51,0.62,12.129999999999999,5.74,0.05,715141120,0,715141120,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
rpt-sansa: track2 / joins / join N-1 / join 10-1 100percent,2,46,1,4.6037,3,11.51,0.62,12.129999999999999,6.14,0.05,715141120,0,715141120,6,289,159744,4837376,4,265,124,1,11,54,1743,0,0,0,0
