name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,2,1,0.1044,3,0.03,0.06,0.09,0.28,0.01,498429952,0,498429952,0,72,0,712704,0,74,24,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,3,1,0.2065,3,0.08,0.16,0.24,0.49,0.03,509247488,0,509247488,0,214,0,1613824,0,178,72,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,4,1,0.3084,3,0.14,0.22,0.36,0.79,0.04,527581184,0,527581184,24,217,929792,1626112,25,180,88,0,0,0,0,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,5,1,0.4105,3,0.18,0.25,0.43,1.06,0.06,506351616,0,506351616,122,231,5885952,1777664,105,187,140,0,1,0,90,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,6,1,0.5125,3,0.29,0.28,0.5700000000000001,1.31,0.07,509304832,0,509304832,179,231,7815168,1777664,140,187,164,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,7,1,0.6144,3,0.43,0.3,0.73,1.55,0.07,518336512,0,518336512,179,231,7815168,1777664,140,187,164,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,8,1,0.7163,3,0.66,0.32,0.98,1.71,0.07,529948672,0,529948672,179,231,7815168,1777664,140,187,164,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,9,1,0.8184,3,0.85,0.35,1.2,1.86,0.07,549044224,0,549044224,179,231,7815168,1777664,140,187,164,0,3,0,310,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,10,1,0.9205,3,1.21,0.36,1.5699999999999998,1.91,0.07,553172992,0,553172992,179,231,7815168,1777664,140,187,164,0,6,0,620,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,11,1,1.0226,3,1.57,0.37,1.94,1.95,0.07,554979328,0,554979328,179,231,7815168,1777664,140,187,164,0,6,0,620,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,12,1,1.1247,3,1.9,0.38,2.28,2.02,0.07,562462720,0,562462720,179,231,7815168,1777664,140,187,164,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,13,1,1.2267,3,2.11,0.39,2.5,2.21,0.08,565559296,0,565559296,185,231,7843840,1777664,143,187,172,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,14,1,1.3286,3,2.37,0.4,2.77,2.34,0.08,567296000,0,567296000,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,15,1,1.4305,3,2.7,0.4,3.1,2.42,0.08,574005248,0,574005248,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,16,1,1.5325,3,3.04,0.42,3.46,2.49,0.08,590004224,0,590004224,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,17,1,1.6345,3,3.32,0.42,3.7399999999999998,2.6,0.08,592584704,0,592584704,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,18,1,1.7364,3,3.62,0.43,4.05,2.71,0.08,596713472,0,596713472,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,19,1,1.8385,3,3.8,0.43,4.2299999999999995,2.92,0.08,599293952,0,599293952,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,20,1,1.9405,3,4.0,0.43,4.43,3.12,0.08,601616384,0,601616384,191,231,7868416,1777664,146,187,176,0,7,0,706,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,21,1,2.0424,3,4.22,0.44,4.66,3.3,0.08,608325632,0,608325632,191,231,7868416,1777664,146,187,176,2,9,108,1869,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,22,1,2.1446,3,4.43,0.45,4.88,3.49,0.08,615809024,0,615809024,191,231,7868416,1777664,146,187,176,2,11,108,2029,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,23,1,2.2473,3,4.72,0.47,5.1899999999999995,3.56,0.08,627679232,0,627679232,191,231,7868416,1777664,146,187,176,2,11,108,2029,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,24,1,2.3492,3,5.01,0.5,5.51,3.66,0.08,612970496,0,612970496,191,231,7868416,1777664,146,187,176,2,11,108,2029,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,25,1,2.4517,3,5.27,0.51,5.779999999999999,3.8,0.08,623034368,0,623034368,191,231,7868416,1777664,146,187,176,2,11,108,2029,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,26,1,2.554,3,5.46,0.52,5.98,4.02,0.08,625614848,0,625614848,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,27,1,2.656,3,5.74,0.52,6.26,4.15,0.08,627937280,0,627937280,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,28,1,2.7578,3,6.11,0.52,6.630000000000001,4.18,0.08,632066048,0,632066048,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,29,1,2.8597,3,6.47,0.53,7.0,4.23,0.08,638001152,0,638001152,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,30,1,2.9615,3,6.8,0.53,7.33,4.27,0.08,644452352,0,644452352,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,31,1,3.0634,3,7.14,0.54,7.68,4.34,0.08,648323072,0,648323072,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,32,1,3.1653,3,7.47,0.55,8.02,4.4,0.08,657612800,0,657612800,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
rpt-sansa: track2 / joins / join N-M / join 5-10 100percent,1,33,1,3.2672,3,7.67,0.58,8.25,4.57,0.08,664580096,0,664580096,191,231,7868416,1777664,146,187,176,2,12,108,2119,0,0,0,0
