name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / properties / 1M rows 20 columns,3,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,2,1,0.1049,3,0.06,0.05,0.11,0.28,0.02,469512192,0,469512192,0,142,0,1179648,0,127,28,0,0,0,0,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,3,1,0.2067,3,0.12,0.15,0.27,0.52,0.03,480014336,0,480014336,7,214,81920,1613824,5,159,64,0,0,0,0,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,4,1,0.3086,3,0.18,0.19,0.37,0.81,0.04,492707840,0,492707840,7,221,81920,1634304,5,162,80,0,0,0,0,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,5,1,0.411,3,0.25,0.23,0.48,1.08,0.05,496877568,0,496877568,45,235,1667072,1785856,33,169,116,0,3,0,310,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,6,1,0.5129,3,0.4,0.25,0.65,1.32,0.05,500916224,0,500916224,45,235,1667072,1785856,33,169,116,1,4,54,1097,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,7,1,0.6148,3,0.53,0.28,0.81,1.56,0.05,520269824,0,520269824,45,235,1667072,1785856,33,169,116,1,4,54,1097,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,8,1,0.7168,3,0.79,0.3,1.09,1.68,0.05,533172224,0,533172224,45,235,1667072,1785856,33,169,116,1,4,54,1097,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,9,1,0.8187,3,1.08,0.34,1.4200000000000002,1.78,0.05,541945856,0,541945856,45,235,1667072,1785856,33,169,116,1,4,54,1097,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,10,1,0.9208,3,1.44,0.35,1.79,1.81,0.05,544268288,0,544268288,45,235,1667072,1785856,33,169,116,1,4,54,1097,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,11,1,1.023,3,1.77,0.35,2.12,1.88,0.05,548397056,0,548397056,45,235,1667072,1785856,33,169,116,1,6,54,1317,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,12,1,1.1259,3,2.02,0.37,2.39,2.02,0.05,550719488,0,550719488,45,235,1667072,1785856,33,169,116,1,7,54,1407,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,13,1,1.2287,3,2.27,0.37,2.64,2.18,0.05,553299968,0,553299968,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,14,1,1.3312,3,2.57,0.37,2.94,2.29,0.05,556396544,0,556396544,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,15,1,1.4332,3,2.85,0.39,3.24,2.38,0.05,563105792,0,563105792,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,16,1,1.5355,3,3.16,0.42,3.58,2.46,0.05,579620864,0,579620864,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,17,1,1.6375,3,3.44,0.43,3.87,2.58,0.05,582975488,0,582975488,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,18,1,1.7394,3,3.7,0.43,4.13,2.73,0.05,585297920,0,585297920,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,19,1,1.8418,3,3.84,0.44,4.28,2.99,0.05,589168640,0,589168640,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,20,1,1.9444,3,4.06,0.45,4.51,3.16,0.05,591491072,0,591491072,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,21,1,2.0466,3,4.29,0.45,4.74,3.34,0.05,596910080,0,596910080,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,22,1,2.1485,3,4.51,0.45,4.96,3.52,0.05,608006144,0,608006144,45,235,1667072,1785856,33,169,116,1,8,54,1493,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,23,1,2.2505,3,4.71,0.46,5.17,3.71,0.05,613941248,0,613941248,45,235,1667072,1785856,33,169,116,1,10,54,1653,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,24,1,2.3524,3,4.86,0.47,5.33,3.94,0.05,595849216,0,595849216,45,235,1667072,1785856,33,169,116,1,10,54,1653,0,0,0,0
rpt-sansa: track2 / properties / 1M rows 20 columns,3,25,1,2.4543,3,5.03,0.48,5.51,4.18,0.05,606171136,0,606171136,45,235,1667072,1785856,33,169,116,1,10,54,1653,0,0,0,0
