name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / records / 100K rows 20 columns,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,2,1,0.1058,3,0.08,0.06,0.14,0.28,0.02,495153152,0,495153152,0,123,0,1040384,0,111,24,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,3,1,0.2079,3,0.15,0.16,0.31,0.5,0.04,506576896,0,506576896,0,219,0,1630208,0,165,72,2,2,154,173,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,4,1,0.3105,3,0.21,0.21,0.42,0.8,0.04,518139904,0,518139904,4,222,94208,1642496,3,167,84,2,2,154,173,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,5,1,0.4128,3,0.27,0.24,0.51,1.09,0.04,517255168,0,517255168,4,236,94208,1794048,3,174,100,2,3,154,263,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,6,1,0.5148,3,0.38,0.27,0.65,1.33,0.04,522022912,0,522022912,4,236,94208,1794048,3,174,100,4,5,1262,1507,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,7,1,0.6168,3,0.5,0.29,0.79,1.61,0.04,523829248,0,523829248,4,236,94208,1794048,3,174,100,4,7,1262,1727,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,8,1,0.7188,3,0.72,0.31,1.03,1.78,0.04,534151168,0,534151168,4,236,94208,1794048,3,174,100,4,8,1262,1817,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,9,1,0.8211,3,0.95,0.35,1.2999999999999998,1.91,0.04,555569152,0,555569152,4,236,94208,1794048,3,174,100,6,10,1442,2481,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,10,1,0.9231,3,1.28,0.36,1.6400000000000001,1.97,0.04,561246208,0,561246208,4,236,94208,1794048,3,174,100,6,10,1442,2481,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,11,1,1.0251,3,1.68,0.37,2.05,1.98,0.04,563052544,0,563052544,4,236,94208,1794048,3,174,100,6,12,1442,2701,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,12,1,1.1271,3,2.0,0.38,2.38,2.05,0.04,569503744,0,569503744,4,236,94208,1794048,3,174,100,8,14,1590,2853,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,13,1,1.2289,3,2.21,0.38,2.59,2.25,0.04,570535936,0,570535936,4,236,94208,1794048,3,174,100,8,14,1590,2853,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,14,1,1.3307,3,2.5,0.38,2.88,2.36,0.04,572342272,0,572342272,4,236,94208,1794048,3,174,100,8,14,1590,2853,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,15,1,1.4327,3,2.8,0.39,3.19,2.45,0.04,580083712,0,580083712,4,236,94208,1794048,3,174,100,9,16,1708,3037,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,16,1,1.535,3,3.11,0.42,3.53,2.51,0.04,591953920,0,591953920,4,236,94208,1794048,3,174,100,9,16,1708,3037,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,17,1,1.6368,3,3.4,0.43,3.83,2.61,0.04,598921216,0,598921216,4,236,94208,1794048,3,174,100,9,16,1708,3037,0,0,0,0
rpt-sansa: track2 / records / 100K rows 20 columns,5,18,1,1.7391,3,3.67,0.44,4.11,2.73,0.04,601759744,0,601759744,4,236,94208,1794048,3,174,100,10,17,1858,3155,0,0,0,0
