name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rpt-sansa: track2 / records / 10M rows 20 columns,5,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,2,1,0.1065,3,0.05,0.08,0.13,0.28,0.01,503943168,0,503943168,17,80,335872,634880,12,71,28,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,3,1,0.2084,3,0.1,0.18,0.28,0.52,0.06,506855424,0,506855424,97,239,2818048,1769472,76,178,112,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,4,1,0.3107,3,0.13,0.24,0.37,0.82,0.1,510926848,0,510926848,195,243,10231808,1777664,167,179,180,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,5,1,0.4134,3,0.14,0.25,0.39,1.12,0.18,507305984,0,507305984,457,243,18903040,1777664,406,179,280,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,6,1,0.5155,3,0.19,0.26,0.45,1.4,0.24,517222400,0,517222400,687,243,25632768,1777664,598,179,380,0,0,0,0,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,7,1,0.6176,3,0.2,0.28,0.48000000000000004,1.72,0.27,503504896,0,503504896,828,252,27832320,1810432,698,183,432,0,3,0,310,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,8,1,0.7198,3,0.24,0.32,0.56,1.99,0.32,515108864,0,515108864,948,260,39174144,1941504,805,188,520,0,3,0,310,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,9,1,0.8218,3,0.37,0.34,0.71,2.22,0.35,519196672,0,519196672,1018,260,40202240,1941504,842,188,580,0,3,0,310,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,10,1,0.9237,3,0.45,0.35,0.8,2.51,0.4,525434880,0,525434880,1135,260,41189376,1941504,893,188,660,0,3,0,310,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,11,1,1.0255,3,0.58,0.36,0.94,2.75,0.42,537309184,0,537309184,1190,260,41443328,1941504,917,188,716,0,4,0,400,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,12,1,1.1274,3,0.8,0.4,1.2000000000000002,2.89,0.46,544751616,0,544751616,1305,260,42000384,1941504,966,188,820,0,4,0,400,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,13,1,1.2295,3,0.86,0.42,1.28,3.16,0.5,554651648,0,554651648,1393,260,42422272,1941504,1002,188,896,0,4,0,400,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,14,1,1.3321,3,0.99,0.43,1.42,3.38,0.55,562716672,0,562716672,1529,260,43388928,1941504,1061,188,996,0,4,0,400,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,15,1,1.4341,3,1.25,0.43,1.68,3.49,0.58,565178368,0,565178368,1619,260,44527616,1941504,1108,188,1092,0,4,0,400,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,16,1,1.536,3,1.59,0.45,2.04,3.53,0.6,567406592,0,567406592,1660,260,44879872,1941504,1127,188,1148,0,5,0,486,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,17,1,1.6383,3,1.82,0.45,2.27,3.68,0.61,568487936,0,568487936,1695,260,45088768,1941504,1147,188,1192,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,18,1,1.7409,3,2.09,0.47,2.5599999999999996,3.79,0.63,574713856,0,574713856,1760,260,45572096,1941504,1180,188,1268,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,19,1,1.8435,3,2.23,0.48,2.71,4.01,0.66,576745472,0,576745472,1864,260,46637056,1941504,1236,188,1360,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,20,1,1.9455,3,2.39,0.49,2.88,4.23,0.68,578793472,0,578793472,1942,260,47427584,1941504,1275,188,1444,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,21,1,2.0473,3,2.61,0.5,3.11,4.39,0.69,579964928,0,579964928,1980,260,47824896,1941504,1299,188,1496,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,22,1,2.1493,3,2.86,0.5,3.36,4.49,0.71,585596928,0,585596928,2062,260,48623616,1941504,1338,188,1568,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,23,1,2.2517,3,3.1,0.52,3.62,4.6,0.74,589365248,0,589365248,2135,260,49500160,1941504,1373,188,1660,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,24,1,2.3551,3,3.39,0.55,3.9400000000000004,4.68,0.76,604303360,0,604303360,2195,260,50044928,1941504,1405,188,1740,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,25,1,2.4574,3,3.59,0.56,4.15,4.83,0.78,605814784,0,605814784,2239,260,50335744,1941504,1427,188,1824,0,7,0,706,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,26,1,2.5593,3,3.72,0.57,4.29,5.08,0.81,607240192,0,607240192,2334,260,51236864,1941504,1470,188,1924,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,27,1,2.6612,3,3.97,0.58,4.55,5.23,0.82,609988608,0,609988608,2394,260,51843072,1941504,1506,188,1992,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,28,1,2.7631,3,4.09,0.58,4.67,5.51,0.83,611708928,0,611708928,2437,260,52203520,1941504,1536,188,2048,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,29,1,2.8657,3,4.24,0.58,4.82,5.7,0.86,613285888,0,613285888,2518,260,52932608,1941504,1578,188,2136,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,30,1,2.9676,3,4.37,0.59,4.96,5.97,0.88,616005632,0,616005632,2606,260,53833728,1941504,1612,188,2228,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,31,1,3.0698,3,4.55,0.59,5.14,6.15,0.9,621981696,0,621981696,2676,260,54300672,1941504,1646,188,2328,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,32,1,3.1717,3,4.71,0.61,5.32,6.36,0.92,628187136,0,628187136,2737,260,54804480,1941504,1686,188,2416,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,33,1,3.2735,3,4.93,0.62,5.55,6.51,0.93,632909824,0,632909824,2787,260,55279616,1941504,1715,188,2500,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,34,1,3.3756,3,5.17,0.64,5.81,6.66,0.95,614494208,0,614494208,2842,260,55853056,1941504,1750,188,2580,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,35,1,3.4778,3,5.39,0.64,6.029999999999999,6.81,0.96,617463808,0,617463808,2882,260,56238080,1941504,1774,188,2648,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,36,1,3.581,3,5.65,0.64,6.29,6.96,0.97,625905664,0,625905664,2928,260,56655872,1941504,1803,188,2708,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,37,1,3.683,3,5.87,0.64,6.51,7.13,0.97,630456320,0,630456320,2936,260,56741888,1941504,1807,188,2728,0,10,0,956,0,0,0,0
rpt-sansa: track2 / records / 10M rows 20 columns,5,38,1,3.7851,3,6.17,0.64,6.81,7.22,0.98,634286080,0,634286080,2945,260,56782848,1941504,1811,188,2752,0,10,0,956,0,0,0,0
